file	run1_sha256	run2_sha256	run1_size	run2_size	byte_identical
DESIGN_DIAGNOSTICS.tsv	4affeecd2795778f8d016530c3df1bb19a17e0a84ecf19e89f2fcf216e635fd2	4affeecd2795778f8d016530c3df1bb19a17e0a84ecf19e89f2fcf216e635fd2	5312	5312	TRUE
FROZEN_HARMONIZATION_SPEC.json	c4252fd1d17a07212852a894631afd7a8df3b331ccf9aed314869b0e5512a362	c4252fd1d17a07212852a894631afd7a8df3b331ccf9aed314869b0e5512a362	6246	6246	TRUE
HARMONIZATION_MAP.tsv	c255355de4b6c4b366a626d7e79b26f474d55ead67387d1fde519743ac7e316b	c255355de4b6c4b366a626d7e79b26f474d55ead67387d1fde519743ac7e316b	5893	5893	TRUE
LINKAGE_LEDGER.tsv	c6087dc8e685b305ccd3ff9d1da02846ff8a306018cc1fb0820cf3825fc8e823	c6087dc8e685b305ccd3ff9d1da02846ff8a306018cc1fb0820cf3825fc8e823	118875	118875	TRUE
MISSINGNESS.tsv	02e08cb20fe60056b6a23b4bd9837d07ba80a6c729f1fcf366e28d50d97dc69e	02e08cb20fe60056b6a23b4bd9837d07ba80a6c729f1fcf366e28d50d97dc69e	1459	1459	TRUE
OUTCOME_FIREWALL_ATTESTATION.txt	1393934215808dcc14466bb250e2832f1b9a50588fe7f8d6c3774118fbf01d60	1393934215808dcc14466bb250e2832f1b9a50588fe7f8d6c3774118fbf01d60	662	662	TRUE
PHASE1_DECISION.json	a9b01e817d9e84180dc4804811dd2d0e33c245925a11bc8d5996363c42e7bc94	a9b01e817d9e84180dc4804811dd2d0e33c245925a11bc8d5996363c42e7bc94	1997	1997	TRUE
PHASE1_FEASIBILITY_REPORT.md	5c7c3fa50e7fcd0f35eadbafbe62b35a5f8dd94c7470a79daf008405051b892e	5c7c3fa50e7fcd0f35eadbafbe62b35a5f8dd94c7470a79daf008405051b892e	2488	2488	TRUE
RAW_CATEGORY_COUNTS.tsv	09fe226376379a333715c3dcfce4d1282e882a368e92c3eb3f6a9ece9abbec80	09fe226376379a333715c3dcfce4d1282e882a368e92c3eb3f6a9ece9abbec80	4282	4282	TRUE
SOURCE_FIELD_DICTIONARY.tsv	5599d54f8578bca87976a5ebcce5c94df37c1337f478c05e12cf421f0aaf9959	5599d54f8578bca87976a5ebcce5c94df37c1337f478c05e12cf421f0aaf9959	2023	2023	TRUE
SUBTYPE_BY_PROPOSED_CATEGORY.tsv	91726649b4e910d5f08318304f052a044fba786e581d0efca0fee39b4737e0dc	91726649b4e910d5f08318304f052a044fba786e581d0efca0fee39b4737e0dc	2959	2959	TRUE
SUBTYPE_BY_RAW_CATEGORY.tsv	54703638e1dad819802d4545bf598e061fa64994cd406922ef10abe15c9110e3	54703638e1dad819802d4545bf598e061fa64994cd406922ef10abe15c9110e3	4132	4132	TRUE
