action	path_or_url	sha256	purpose	firewall_decision	outcome_values_seen
READ_FULL_REFERENCE	data/external/original-workspace/revgate-task-b-grade-histology/docs/reference/STATE.md	b1c4bdcdc89e39fa91c2ea0027b0fa227b3166188fdb5cc11ad7a614dc687d9e	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_REFERENCE	data/external/original-workspace/revgate-task-b-grade-histology/docs/reference/RISKS.md	ad8d0618865108255bf14fabbe9027a3150414bece285f5991260d5a9cb754c0	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_REFERENCE	data/external/original-workspace/revgate-task-b-grade-histology/docs/agents/reference/ANTI_FABRICATION_DOCTRINE.md	4430221036fbd48942a5ff88a4721885ee539e61b6d653aa51a9d7b8422165b3	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_REFERENCE	data/external/original-workspace/revgate-task-b-grade-histology/docs/reference/FINDINGS_REGISTRY.md	19fb925a3c71b8fa281766632050289784b2b08b9c64e3b5390628c319ec7e7e	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_FROZEN_PROTOCOL	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_OUTCOME_BLIND_PROTOCOL.md	09c6950e997b9c2534180d34c86e246ba749943b07a4f6bed62f5cbcea5ee2b9	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_FROZEN_RULE	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_FEASIBILITY_RULES.json	aa1eaea70991d9e915f499243a11964e01b7242c2f190cac783661b896e1eb42	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_FROZEN_FIREWALL	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/ALLOWED_INPUTS_AND_OUTCOME_FIREWALL.json	40e11800d4d5f56388ca7563886215d07e219dc6d8f440b7069e0d3be772615b	mandatory orientation/protocol enforcement	ALLOW	NO
READ_FULL_RESEARCH_LOG	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/RESEARCH_ACCESS_LOG.tsv	bd754088fe6d8528b5f5ddbdb0246a956834d06e75fc8b5cebd6ffa20934352b	mandatory orientation/protocol enforcement	ALLOW	NO
READ_CHECKSUM_SEAL	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_PROTOCOL_SHA256SUMS.txt	32c5dd3534c231630ae47e19cb2e5d1c5204d43ac96886327ccdcf36dcbb7509	mandatory orientation/protocol enforcement	ALLOW	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task027-acquire-freeze-a/freeze_a_redux/cohort_selected_primary.tsv	e6f9d390730bff4248379b2280b12e2914ec800e2f56516b466f2151b169f3be	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task024-freeze-a/subtype_normalized.tsv	17a899a4869fccf806859342454bde440027786a48bdd50f1d1eace810b1ef9e	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/join_tables/discovery_join.json	315a9d29f1add19fd90db85188762937ac2e49262d64a51813aca5fb5ccb48ad	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/join_tables/confirmatory_join.json	95b9f754970e7f0691faddf6e350aca6cfe465c5c0c98600a4ed34ebbfe43743	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
STRUCTURE_OR_ALLOWED_FIELDS	data/external/original-workspace/task029-external-replication-feasibility/sources/cbio_2020_clinattr.json	25161910befe62fea99ba5d754e0e43f8d2d80413538b8bfcac0c52aa5e58e6e	hash/schema/linkage preflight or canonical clinical audit	ALLOW_EXACT_SCOPE	NO
