cohort	node	n	p	rank	residual_df	svd_tolerance	singular_values	condition_number	max_one_df_vif	subtype_adjusted_gvif	clinical_adjusted_gvif	cramers_v	near_zero_variance	max_leverage	fraction_hat_gt_3p_n	support_state	reason	reference_levels
TCGA	base	507	4	4	503	2.795341739e-12	24.83057202;12.45841191;8.298336057;5.135005802	1.898543471	1.43085242	1	NA	NA	False	0.02040816327	0	PASS	ALL_FROZEN_PHASE1_RULES_PASS	subtype=NSMP
TCGA	base_plus_grade	498	5	5	493	2.917226501e-12	26.38156663;13.36485207;10.40539622;7.491137403;4.243142826	2.496205389	2.03984629	1.062550243	1.199633059	0.5523863328	False	0.0257958705	0	FORBIDDEN	GRADE_NOT_COMMONLY_DEFINED_ACROSS_ALL_HISTOLOGIES	subtype=NSMP;grade=high_grade
TCGA	base_plus_histology	506	5	5	501	2.878990674e-12	25.62415282;13.87434611;8.616047069;6.420185808;4.944720345	2.564979639	2.138089164	1.093497097	1.307533737	0.6442694066	False	0.03513415216	0.009881422925	PASS	ALL_FROZEN_PHASE1_RULES_PASS	subtype=NSMP;histology=endometrioid
TCGA	base_plus_grade_plus_histology	497	6	6	491	2.963161277e-12	26.85088938;15.18928027;10.41856118;7.534578702;6.00164129;4.240225561	2.967003723	2.50451483	1.129984205	1.345360399	0.6456513013	False	0.03713179707	0.008048289738	FORBIDDEN	GRADE_RESTRICTED_TO_ENDOMETRIOID;NO_RESCUE_PARAMETERIZATION	subtype=NSMP;grade=high_grade;histology=endometrioid
TCGA	endometrioid_only	381	5	5	376	2.036864112e-12	24.07669411;10.21410792;9.006809864;6.847339949;3.997012857	1.997617869	1.436969872	1.038338581	1.119481635	0.4495193944	False	0.02771054445	0	PASS	ALL_FROZEN_PHASE1_RULES_PASS	subtype=NSMP;grade=high_grade
TCGA	optional_grade_stratified_low	205	4	4	201	6.923848547e-13	15.21084963;6.419538889;3.860196272;3.085199966	1.320027178	1.077358083	1	NA	NA	False	0.09090909091	0.1365853659	FAIL	HIGH_LEVERAGE_FRACTION_GT_0.05	subtype=NSMP
TCGA	optional_grade_stratified_high	176	4	4	172	5.932170262e-13	15.17961351;7.600103655;5.660342923;2.403804487	2.646045675	2.227272727	1	NA	NA	False	0.03846153846	0	PASS	ALL_FROZEN_PHASE1_RULES_PASS	subtype=NSMP
CPTAC_Discovery	base	94	4	4	90	2.15210551e-13	10.31087401;4.678037533;3.379540758;2.319600437	1.499960811	1.160811479	1	NA	NA	False	0.1428571429	0.07446808511	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;HIGH_LEVERAGE_FRACTION_GT_0.05	subtype=NSMP
CPTAC_Discovery	base_plus_grade	83	5	5	78	2.353957588e-13	12.77262954;4.211379207;2.967545124;2.496961378;1.443287786	1.854838185	1.400486634	1.046701121	1.146748201	0.4894506152	False	0.2765072765	0.04819277108	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;CLINICAL_LEVEL_LT_20:grade;LEVEL_NOT_IN_TWO_SUBTYPES:grade:high_grade	subtype=NSMP;grade=high_grade
CPTAC_Discovery	base_plus_histology	83	4	4	79	1.781562043e-13	9.666797776;4.12195794;2.742507233;2.245247774	1.381525991	1.105071449	1	NA	NA	True	0.1428571429	0	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;NEAR_ZERO_VARIANCE	subtype=NSMP;histology=endometrioid
CPTAC_Discovery	base_plus_grade_plus_histology	83	5	5	78	2.353957588e-13	12.77262954;4.211379207;2.967545124;2.496961378;1.443287786	1.854838185	1.400486634	1.046701121	1.146748201	0.4894506152	True	0.2765072765	0.04819277108	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;CLINICAL_LEVEL_LT_20:grade;LEVEL_NOT_IN_TWO_SUBTYPES:grade:high_grade;NEAR_ZERO_VARIANCE	subtype=NSMP;grade=high_grade;histology=endometrioid
CPTAC_Discovery	endometrioid_only	94	4	4	90	2.15210551e-13	10.31087401;4.678037533;3.379540758;2.319600437	1.499960811	1.160811479	1	NA	NA	False	0.1428571429	0.07446808511	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;HIGH_LEVERAGE_FRACTION_GT_0.05	subtype=NSMP
CPTAC_Discovery	optional_grade_stratified	94	4	4	90	2.15210551e-13	10.31087401;4.678037533;3.379540758;2.319600437	1.499960811	1.160811479	1	NA	NA	False	0.1428571429	0.07446808511	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;HIGH_LEVERAGE_FRACTION_GT_0.05	subtype=NSMP
CPTAC_Confirmatory	base	133	4	4	129	3.669343242e-13	12.42500215;5.357209331;3.406757198;2.305132357	1.391114359	1.110047847	1	NA	NA	False	0.1666666667	0.04511278195	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE	subtype=NSMP
CPTAC_Confirmatory	base_plus_grade	0	4	NA	-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE	subtype=NSMP;grade=None
CPTAC_Confirmatory	base_plus_histology	133	4	4	129	3.669343242e-13	12.42500215;5.357209331;3.406757198;2.305132357	1.391114359	1.110047847	1	NA	NA	True	0.1666666667	0.04511278195	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE;NEAR_ZERO_VARIANCE	subtype=NSMP;histology=endometrioid
CPTAC_Confirmatory	base_plus_grade_plus_histology	0	4	NA	-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE	subtype=NSMP;grade=None;histology=None
CPTAC_Confirmatory	endometrioid_only	133	4	4	129	3.669343242e-13	12.42500215;5.357209331;3.406757198;2.305132357	1.391114359	1.110047847	1	NA	NA	False	0.1666666667	0.04511278195	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE	subtype=NSMP
CPTAC_Confirmatory	optional_grade_stratified	133	4	4	129	3.669343242e-13	12.42500215;5.357209331;3.406757198;2.305132357	1.391114359	1.110047847	1	NA	NA	False	0.1666666667	0.04511278195	BLOCKED	UNRESOLVED_EXACT_PRIMARY_SAMPLE_OR_ALIQUOT_LINKAGE	subtype=NSMP
