cohort	variable	group_type	group	n_total	n_missing	missing_fraction
TCGA	grade	overall	ALL	507	9	0.01775147929
TCGA	grade	subtype	NSMP	147	1	0.006802721088
TCGA	grade	subtype	MMRd	148	0	0
TCGA	grade	subtype	POLE	49	1	0.02040816327
TCGA	grade	subtype	p53abn	163	7	0.04294478528
TCGA	histology	overall	ALL	507	1	0.001972386588
TCGA	histology	subtype	NSMP	147	0	0
TCGA	histology	subtype	MMRd	148	0	0
TCGA	histology	subtype	POLE	49	0	0
TCGA	histology	subtype	p53abn	163	1	0.006134969325
CPTAC_Discovery	grade	overall	ALL	95	12	0.1263157895
CPTAC_Discovery	grade	subtype	NSMP	43	0	0
CPTAC_Discovery	grade	subtype	MMRd	25	0	0
CPTAC_Discovery	grade	subtype	POLE	7	0	0
CPTAC_Discovery	grade	subtype	p53abn	20	12	0.6
CPTAC_Discovery	histology	overall	ALL	95	12	0.1263157895
CPTAC_Discovery	histology	subtype	NSMP	43	0	0
CPTAC_Discovery	histology	subtype	MMRd	25	0	0
CPTAC_Discovery	histology	subtype	POLE	7	0	0
CPTAC_Discovery	histology	subtype	p53abn	20	12	0.6
CPTAC_Confirmatory	grade	overall	ALL	135	135	1
CPTAC_Confirmatory	grade	subtype	NSMP	66	66	1
CPTAC_Confirmatory	grade	subtype	MMRd	47	47	1
CPTAC_Confirmatory	grade	subtype	POLE	6	6	1
CPTAC_Confirmatory	grade	subtype	p53abn	16	16	1
CPTAC_Confirmatory	histology	overall	ALL	135	2	0.01481481481
CPTAC_Confirmatory	histology	subtype	NSMP	66	0	0
CPTAC_Confirmatory	histology	subtype	MMRd	47	1	0.02127659574
CPTAC_Confirmatory	histology	subtype	POLE	6	0	0
CPTAC_Confirmatory	histology	subtype	p53abn	16	1	0.0625
