source	target	contrast	base_specification	quantity	current_value	upstream_value	signed_delta	absolute_delta	tolerance	status
TASK028_PRIMARY	GATA2	C2	primary_cpe	coefficient	-4.3505462498017096	-4.350546249801706	-3.5527136788005009e-15	3.5527136788005009e-15	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	GATA2	C2	primary_cpe	residual_sd	7.8667332425302066	7.8667332425302066	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	GATA2	C2	primary_cpe	d	-0.55303085991033651	-0.55303085991033596	-5.5511151231257827e-16	5.5511151231257827e-16	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	SOX9	C2	primary_cpe	coefficient	-4.2424280879495662	-4.2424280879495662	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	SOX9	C2	primary_cpe	residual_sd	8.0484531556112628	8.0484531556112628	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	SOX9	C2	primary_cpe	d	-0.52711098715804883	-0.52711098715804883	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	HOXA9	C2	primary_cpe	coefficient	-3.0805173590624659	-3.0805173590624655	-4.4408920985006262e-16	4.4408920985006262e-16	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	HOXA9	C2	primary_cpe	residual_sd	4.7684596427534913	4.7684596427534913	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	HOXA9	C2	primary_cpe	d	-0.64601938358519007	-0.64601938358518995	-1.1102230246251565e-16	1.1102230246251565e-16	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	WT1	C2	primary_cpe	coefficient	-5.8512302295264256	-5.8512302295264291	3.5527136788005009e-15	3.5527136788005009e-15	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	WT1	C2	primary_cpe	residual_sd	9.9013613711309763	9.9013613711309763	0	0	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	WT1	C2	primary_cpe	d	-0.59095209337441568	-0.59095209337441612	4.4408920985006262e-16	4.4408920985006262e-16	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	PAX8	C2	primary_cpe	coefficient	-1.1872375555572268	-1.1872375555572265	-2.2204460492503131e-16	2.2204460492503131e-16	9.9999999999999998e-13	MATCH
TASK028_PRIMARY	PAX8	C2	primary_cpe	residual_sd	4.8232788589274911	4.8232788589274911	0	0	9.9999999999999998e-13	MATCH
