cohort	base_specification	node	model	target	contrast	n	p_design	coefficient	se	t	residual_df	ci_lo	ci_hi	raw_p	direction	residual_sd	d	d_ci_lo	d_ci_hi	coefficient_boot_ci_lo	coefficient_boot_ci_hi	bootstrap_attempts	bootstrap_valid	diagnostic_permutations	permutation_p	interpretability
TCGA-UCEC	primary_cpe	full_base	base	GATA2	C2	506	7	-4.3505462498017096	1.0262775180488262	-4.2391518602814484	499	-6.3669038528221362	-2.3341886467812829	2.6736982074373046e-05	negative	7.8667332425302066	-0.55303085991033651	-0.84205486846927846	-0.27997687121447334	-6.4139934806626	-2.2091917408874804	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	full_base	base	SOX9	C2	506	7	-4.2424280879495662	1.0499843167449636	-4.0404680529909598	499	-6.305363135134523	-2.1794930407646094	6.1757792474499636e-05	negative	8.0484531556112628	-0.52711098715804883	-0.79163122117298856	-0.25577032010176332	-6.2460766215554218	-2.0848559063903611	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	full_base	base	HOXA9	C2	506	7	-3.0805173590624659	0.6220832429684684	-4.9519375322871513	499	-4.3027425901635512	-1.8582921279613807	1.0071934058853881e-06	negative	4.7684596427534913	-0.64601938358519007	-0.91794308675888592	-0.39879476357865712	-4.259498981100549	-1.8998537994033393	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	full_base	base	WT1	C2	506	7	-5.8512302295264256	1.2917108359963312	-4.5298297935336391	499	-8.3890924736656949	-3.3133679853871558	7.3935331358484831e-06	negative	9.9013613711309763	-0.59095209337441568	-0.86142364741062505	-0.3277304684598758	-8.3219909107814747	-3.2651407866058948	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	full_base	base	PAX8	C2	506	7	-1.1872375555572268	0.62923484292514109	-1.8867956358520823	499	-2.4235137452857733	0.049038634171319595	0.059768086485621721	negative	4.8232788589274911	-0.24614740102777763	-0.51232218787358097	0.0060077027308760326	-2.4159621705703276	0.029134192436579678	2000	2000	2000	0.034982508745627187	PASS
TCGA-UCEC	primary_cpe	full_base	base	LHX1	C2	506	7	-0.86451890767196682	0.40629710964380039	-2.1277997976158094	499	-1.6627827804624888	-0.066255034881444685	0.033843253679356471	negative	3.114392474323656	-0.27758829845609362	-0.50930238406030426	-0.051141804514262562	-1.5558017694116442	-0.15735775136631477	2000	2000	2000	0.015992003998000999	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_refit	GATA2	C2	505	7	-4.3716491002561604	1.0261391736542511	-4.2602886747691304	498	-6.3877447366845077	-2.3555534638278131	2.4418699324649824e-05	negative	7.8643905772280807	-0.55587894031033891	-0.84067902416895257	-0.27818149151673666	-6.4191218952299778	-2.173488772586651	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	GATA2	C2	505	8	-4.3996223693646384	1.0257631945795966	-4.2891209127149459	497	-6.4149891838366813	-2.3842555548925954	2.1561442449541119e-05	negative	7.8596786894782786	-0.55977127605157651	-0.84806445844607969	-0.28357228862119721	-6.4684148849643872	-2.2548094793334612	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_refit	SOX9	C2	505	7	-4.2594963626630458	1.050355487669782	-4.0552902447463346	498	-6.3231707352614839	-2.1958219900646077	5.8103476662636922e-05	negative	8.0499858226378489	-0.52913091482529817	-0.79410181112589462	-0.2767817050715779	-6.2246806931013667	-2.2299748678686555	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	SOX9	C2	505	8	-4.2683649311593932	1.0514948945965954	-4.0593301528077754	497	-6.3342880675664057	-2.2024417947523807	5.7155969929031688e-05	negative	8.0568420263345413	-0.5297813854619271	-0.7971157987089158	-0.26288678188078701	-6.26863769750197	-2.1153187319156106	2000	2000	2000	0.00049975012493753122	PASS
