base_specification	node	stratum	level	n
primary_cpe	full_base	subtype	POLE	49
primary_cpe	full_base	subtype	MMRd	148
primary_cpe	full_base	subtype	NSMP	146
primary_cpe	full_base	subtype	p53abn	163
primary_cpe	histology_matched	subtype	POLE	49
primary_cpe	histology_matched	subtype	MMRd	148
primary_cpe	histology_matched	subtype	NSMP	146
primary_cpe	histology_matched	subtype	p53abn	162
primary_cpe	endometrioid_grade_matched	subtype	POLE	44
primary_cpe	endometrioid_grade_matched	subtype	MMRd	142
primary_cpe	endometrioid_grade_matched	subtype	NSMP	138
primary_cpe	endometrioid_grade_matched	subtype	p53abn	56
no_purity	full_base	subtype	POLE	49
no_purity	full_base	subtype	MMRd	148
no_purity	full_base	subtype	NSMP	147
no_purity	full_base	subtype	p53abn	163
no_purity	histology_matched	subtype	POLE	49
no_purity	histology_matched	subtype	MMRd	148
no_purity	histology_matched	subtype	NSMP	147
no_purity	histology_matched	subtype	p53abn	162
no_purity	endometrioid_grade_matched	subtype	POLE	44
no_purity	endometrioid_grade_matched	subtype	MMRd	142
no_purity	endometrioid_grade_matched	subtype	NSMP	139
no_purity	endometrioid_grade_matched	subtype	p53abn	56
