key	path	sha256	expected_sha256	status
spec	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase2_freeze/PHASE2_FROZEN_SPEC.json	14343c81ed4a9211e26117d5489ef24d3d158a028121b4c78e633e956a24ef35	14343c81ed4a9211e26117d5489ef24d3d158a028121b4c78e633e956a24ef35	MATCH
engine	data/external/original-workspace/task028-freeze-b-draft/execution/scripts_v3/model_engine.py	4d7bfb997c9dc188daf9e584a791ff490dfcfdd7fa365c20bca8a2c066f42065	4d7bfb997c9dc188daf9e584a791ff490dfcfdd7fa365c20bca8a2c066f42065	MATCH
design	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B2_MODEL_SPEC.md	682099a03923778d170ff4bd46e8b475405419fe1fadb3259ce4c2e75b43f2c1	682099a03923778d170ff4bd46e8b475405419fe1fadb3259ce4c2e75b43f2c1	MATCH
scores	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/scores_v3.npz	956b7a968f35d1da57719e3bc7392decbdd6e292ac31d4dec100b6632518b0cb	956b7a968f35d1da57719e3bc7392decbdd6e292ac31d4dec100b6632518b0cb	MATCH
covariates	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/covariates_v3.tsv	cc46495c0abc6877182c9bff8d4ba44f11599d8bc5bc7a8cb6f8331aa1ec3c9a	cc46495c0abc6877182c9bff8d4ba44f11599d8bc5bc7a8cb6f8331aa1ec3c9a	MATCH
order	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/patient_order_v3.json	e494200b1a9d1c026679d039181bf34cfa3be62892e3d55bca2aeec0dab5e432	e494200b1a9d1c026679d039181bf34cfa3be62892e3d55bca2aeec0dab5e432	MATCH
rules	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_FEASIBILITY_RULES.json	aa1eaea70991d9e915f499243a11964e01b7242c2f190cac783661b896e1eb42	aa1eaea70991d9e915f499243a11964e01b7242c2f190cac783661b896e1eb42	MATCH
input_lock	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/INPUTS_LOCK.json	bdaa15a40800cb5384abda946ef2c388f97fbb4fdcc16c4c901d9d00452d9039	bdaa15a40800cb5384abda946ef2c388f97fbb4fdcc16c4c901d9d00452d9039	MATCH
decision	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/PHASE1_DECISION.json	a9b01e817d9e84180dc4804811dd2d0e33c245925a11bc8d5996363c42e7bc94	a9b01e817d9e84180dc4804811dd2d0e33c245925a11bc8d5996363c42e7bc94	MATCH
harm_spec	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/FROZEN_HARMONIZATION_SPEC.json	c4252fd1d17a07212852a894631afd7a8df3b331ccf9aed314869b0e5512a362	c4252fd1d17a07212852a894631afd7a8df3b331ccf9aed314869b0e5512a362	MATCH
harm_map	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/HARMONIZATION_MAP.tsv	c255355de4b6c4b366a626d7e79b26f474d55ead67387d1fde519743ac7e316b	c255355de4b6c4b366a626d7e79b26f474d55ead67387d1fde519743ac7e316b	MATCH
ledger	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/LINKAGE_LEDGER.tsv	c6087dc8e685b305ccd3ff9d1da02846ff8a306018cc1fb0820cf3825fc8e823	c6087dc8e685b305ccd3ff9d1da02846ff8a306018cc1fb0820cf3825fc8e823	MATCH
missing	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/MISSINGNESS.tsv	02e08cb20fe60056b6a23b4bd9837d07ba80a6c729f1fcf366e28d50d97dc69e	02e08cb20fe60056b6a23b4bd9837d07ba80a6c729f1fcf366e28d50d97dc69e	MATCH
raw_counts	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/RAW_CATEGORY_COUNTS.tsv	09fe226376379a333715c3dcfce4d1282e882a368e92c3eb3f6a9ece9abbec80	09fe226376379a333715c3dcfce4d1282e882a368e92c3eb3f6a9ece9abbec80	MATCH
proposed	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/run1/SUBTYPE_BY_PROPOSED_CATEGORY.tsv	91726649b4e910d5f08318304f052a044fba786e581d0efca0fee39b4737e0dc	91726649b4e910d5f08318304f052a044fba786e581d0efca0fee39b4737e0dc	MATCH
reviewer	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_critic/VALIDATION_REPORT_PHASE1.md	1b83bae3d188db5e844c1786f3d5773c0e2c183d8a050d5c0f575b8c6eeadbcf	1b83bae3d188db5e844c1786f3d5773c0e2c183d8a050d5c0f575b8c6eeadbcf	MATCH
