cohort	base_specification	node	target	n	base_beta	adjusted_beta	base_residual_sd	adjusted_residual_sd	base_d	adjusted_d	signed_delta_d	absolute_delta_d	magnitude_attenuation	percent_attenuation	beta_change	residual_scale_contribution	coefficient_contribution	decomposition_error	paired_bootstrap_attempts	paired_bootstrap_valid	signed_delta_d_ci_lo	signed_delta_d_ci_hi	taxonomy	interpretability
TCGA-UCEC	primary_cpe	histology_matched	GATA2	505	-4.3716491002561604	-4.3996223693646384	7.8643905772280807	7.8596786894782786	-0.55587894031033891	-0.55977127605157651	-0.0038923357412375958	0.0038923357412375958	-0.0038923357412375958	-0.700212844736403	-0.027973269108477972	-0.0003332501585246287	-0.0035590855827129014	6.591949208711867e-17	2000	2000	-0.026761943112700644	0.011230845285638176	amplified	PASS
TCGA-UCEC	primary_cpe	histology_matched	SOX9	505	-4.2594963626630458	-4.2683649311593932	8.0499858226378489	8.0568420263345413	-0.52913091482529817	-0.5297813854619271	-0.00065047063662893034	0.00065047063662893034	-0.00065047063662893034	-0.12293189046489461	-0.0088685684963474287	0.0004502793181747237	-0.0011007499548035921	6.1907944048922303e-17	2000	2000	-0.019057164384774769	0.0092896713714691239	amplified	PASS
TCGA-UCEC	primary_cpe	histology_matched	HOXA9	505	-3.06829580434135	-3.0895776636781869	4.7675806807297603	4.7603200549751117	-0.64357501420860996	-0.64902729816437521	-0.0054522839557652469	0.0054522839557652469	-0.0054522839557652469	-0.84718701556022968	-0.021281859336836906	-0.00098160570492056244	-0.0044706782508446641	2.0816681711721685e-17	2000	2000	-0.034522926083689676	0.010633908784284404	amplified	PASS
TCGA-UCEC	primary_cpe	histology_matched	WT1	505	-5.8817744140076469	-5.8780514040662979	9.8942547676759105	9.9040262063857423	-0.59446361066253739	-0.59350119654129674	0.00096241412124065118	0.00096241412124065118	0.00096241412124065118	0.16189622106019713	0.0037230099413489981	0.00058650538839129436	0.00037590873284932766	2.9165038439860069e-17	2000	2000	-0.011353010731087554	0.014135734377667382	largely_retained	PASS
TCGA-UCEC	primary_cpe	histology_matched	PAX8	505	-1.1814896566971094	-1.1221175642669747	4.8268810378345401	4.7382800469060804	-0.24477289732981594	-0.23681959554072274	0.0079533017890932034	0.0079533017890932034	0.0079533017890932034	3.2492575264068693	0.059372092430134638	-0.0045770028451595215	0.012530304634252759	3.4694469519536142e-17	2000	2000	-0.039884015742709014	0.054439159099837771	largely_retained	PASS
TCGA-UCEC	primary_cpe	histology_matched	LHX1	505	-0.88015971242545932	-0.84431920742425892	3.1032899058308385	3.0535022651004167	-0.2836214917503222	-0.27650845950706798	0.0071130322432542137	0.0071130322432542137	0.0071130322432542137	2.5079313275440924	0.035840505001200396	-0.0046244750154874935	0.01173750725874171	2.6020852139652106e-18	2000	2000	-0.034489870166632054	0.051924456253377903	largely_retained	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	GATA2	380	-4.1037244655325313	-3.3618463951585635	7.8496189261816918	7.754953692789865	-0.52279282652116155	-0.43350953833344302	0.089283288187718524	0.089283288187718524	0.089283288187718524	17.078139495876293	0.7418780703739678	-0.0063817666615097225	0.09566505484922827	2.7755575615628914e-17	2000	2000	0.029266285017137288	0.16947357732469648	largely_retained	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	SOX9	380	-4.8252399869435454	-4.3713614542449601	7.8259071167549976	7.7970859549612275	-0.61657261132231855	-0.56064040841610774	0.055932202906210815	0.055932202906210815	0.055932202906210815	9.0714705582294801	0.45387853269858525	-0.0022791000498360706	0.058211302956046769	1.1796119636642288e-16	2000	2000	0.0014235636028643334	0.12272040603782777	largely_retained	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	HOXA9	380	-3.0450803778801787	-2.8924779724216139	4.8681544454545458	4.8675582508128912	-0.62551022404874745	-0.59423592351227938	0.031274300536468069	0.031274300536468069	0.031274300536468069	4.9998064514499116	0.15260240545856485	-7.6614562099144691e-05	0.031350915098567127	9.0205620750793969e-17	2000	2000	-0.029511449560365225	0.092790521095266865	largely_retained	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	WT1	380	-5.7217057358590981	-5.8294419622698417	9.8744231561876497	9.8859341813162658	-0.57944708722288074	-0.58967031899596145	-0.01022323177308071	0.01022323177308071	-0.01022323177308071	-1.7643080789443	-0.10773622641074354	0.00067469900763980433	-0.010897930780720509	5.2041704279304213e-18	2000	2000	-0.076218832589584992	0.052116122129068874	amplified	PASS
