class	path	sha256	access_in_research_freeze	phase2_role
TASK028_DESIGN	data/external/original-workspace/task028-freeze-b-draft/sealed_v3/B2_MODEL_SPEC.md	682099a03923778d170ff4bd46e8b475405419fe1fadb3259ce4c2e75b43f2c1	READ	Frozen B2 v3 design
TASK028_CODE	data/external/original-workspace/task028-freeze-b-draft/execution/scripts_v3/model_engine.py	4d7bfb997c9dc188daf9e584a791ff490dfcfdd7fa365c20bca8a2c066f42065	READ_AFTER_STATIC_SCAN	Locked model engine; no target-specific or expected-result literals found
TASK028_OUTCOME	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/scores_v3.npz	956b7a968f35d1da57719e3bc7392decbdd6e292ac31d4dec100b6632518b0cb	SHA256_ONLY_NEVER_LOADED	Frozen score array; experimenter load only after freeze
TASK028_COVARIATES	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/covariates_v3.tsv	cc46495c0abc6877182c9bff8d4ba44f11599d8bc5bc7a8cb6f8331aa1ec3c9a	SHA256_PLUS_HEADER_ONLY_NO_ROWS	Frozen covariates and base rosters
TASK028_ORDER	data/external/original-workspace/task028-freeze-b-draft/execution/intermediate/patient_order_v3.json	e494200b1a9d1c026679d039181bf34cfa3be62892e3d55bca2aeec0dab5e432	SHA256_ONLY_CONTENT_NOT_INSPECTED	Frozen patient order
PHASE1_PROTOCOL	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_OUTCOME_BLIND_PROTOCOL.md	09c6950e997b9c2534180d34c86e246ba749943b07a4f6bed62f5cbcea5ee2b9	READ	Phase-1 design and firewall
PHASE1_RULES	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/PHASE1_FEASIBILITY_RULES.json	aa1eaea70991d9e915f499243a11964e01b7242c2f190cac783661b896e1eb42	READ	Binding support and diagnostic rules
PHASE1_FIREWALL	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/ALLOWED_INPUTS_AND_OUTCOME_FIREWALL.json	40e11800d4d5f56388ca7563886215d07e219dc6d8f440b7069e0d3be772615b	READ	Binding Phase-1 access boundary
PHASE1_INPUT_LOCK	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/INPUTS_LOCK.json	bdaa15a40800cb5384abda946ef2c388f97fbb4fdcc16c4c901d9d00452d9039	READ	Clinical source versions and byte locks
PHASE1_MANIFEST	data/external/original-workspace/revgate-task-b-grade-histology/experiments/taskB_grade_histology/phase1_execution/REPRODUCIBILITY_MANIFEST.json	ca526090be27c87b0c90935723f5be45419897a7198b91ef1dfd8e1b5dc9879d	READ	Phase-1 provenance
