target	model	contrast	coefficient	coefficient_SE	residual_SD	d	d_boot_CI_lo	d_boot_CI_hi	perm_p_raw	BH18_q_descriptive	n_POLE	n_MMRd	n_NSMP	n_p53abn	interpretation_state
GATA2	TCGA_PRIMARY_CPE_N506	POLE_vs_NSMP	-5.366438071939792	1.4084604615272538	7.866733242530207	-0.6821685579634279	-1.109059655899362	-0.29661207031378684	0.0004997501249375312	0.0017991004497751122	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	TCGA_PRIMARY_CPE_N506	MMRd_vs_NSMP	-3.3346544276636267	0.9941125967561311	7.866733242530207	-0.423893161857245	-0.6844859030132928	-0.17951334252028472	0.0009995002498750624	0.002570143499678732	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	TCGA_PRIMARY_CPE_N506	POLE_vs_MMRd	-2.0317836442761656	1.3156972589542515	7.866733242530207	-0.2582753961061829	-0.6411182755412012	0.10425008930596241	0.12893553223388307	0.16577425572927823	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_PRIMARY_CPE_N506	POLE_vs_NSMP	-5.557372616805481	1.4409956072803995	8.048453155611263	-0.6904895275349852	-1.0299940483155963	-0.370202552096514	0.0004997501249375312	0.0017991004497751122	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_PRIMARY_CPE_N506	MMRd_vs_NSMP	-2.927483559093651	1.0170763924138577	8.048453155611263	-0.36373244678111255	-0.6275263636947145	-0.09346375071665247	0.0024987506246876563	0.005622188905547227	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_PRIMARY_CPE_N506	POLE_vs_MMRd	-2.6298890577118303	1.3460895938875832	8.048453155611263	-0.3267570807538726	-0.6357865305936402	-0.008978835151755528	0.05897051474262868	0.08845577211394302	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_PRIMARY_CPE_N506	POLE_vs_NSMP	-3.64758919246682	0.8537453428440538	4.768459642753491	-0.7649407703407891	-1.1313367056673724	-0.4346532088496135	0.0004997501249375312	0.0017991004497751122	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_PRIMARY_CPE_N506	MMRd_vs_NSMP	-2.513445525658112	0.6025863152898546	4.768459642753491	-0.5270979968295909	-0.791584057859476	-0.273346548188839	0.0004997501249375312	0.0017991004497751122	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_PRIMARY_CPE_N506	POLE_vs_MMRd	-1.1341436668087077	0.7975164643293353	4.768459642753491	-0.2378427735111982	-0.5646186614895254	0.07477265225137111	0.14942528735632185	0.1793103448275862	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_PRIMARY_CPE_N506	POLE_vs_NSMP	-6.688385684440303	1.7727404217974803	9.901361371130976	-0.6755016238414826	-1.0422527044064878	-0.3139380024367144	0.0009995002498750624	0.002570143499678732	49	148	146	163	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
