target	model	b_C2_direct	b_C2_reconstructed	c2_reconstruction_abs_error	c2_scaled_error	d_C2_direct	d_C2_reconstructed	d_c2_reconstruction_abs_error	d_c2_scaled_error	bootstrap_max_b_scaled_error	bootstrap_max_d_scaled_error	tolerance	pass
GATA2	TCGA_PRIMARY_CPE_N506	-4.35054624980171	-4.35054624980171	0.0	0.0	-0.5530308599103365	-0.5530308599103364	1.1102230246251565e-16	1.1102230246251565e-16	0.0	1.1102230246251565e-16	1e-12	True
SOX9	TCGA_PRIMARY_CPE_N506	-4.242428087949566	-4.242428087949566	0.0	0.0	-0.5271109871580488	-0.5271109871580488	0.0	0.0	2.1852020099510333e-16	1.942890293094024e-16	1e-12	True
HOXA9	TCGA_PRIMARY_CPE_N506	-3.080517359062466	-3.080517359062466	0.0	0.0	-0.6460193835851901	-0.64601938358519	1.1102230246251565e-16	1.1102230246251565e-16	0.0	1.654918409878714e-16	1e-12	True
WT1	TCGA_PRIMARY_CPE_N506	-5.851230229526426	-5.851230229526426	0.0	0.0	-0.5909520933744157	-0.5909520933744157	0.0	0.0	0.0	1.1102230246251565e-16	1e-12	True
PAX8	TCGA_PRIMARY_CPE_N506	-1.1872375555572268	-1.1872375555572268	0.0	0.0	-0.24614740102777763	-0.24614740102777763	0.0	0.0	1.3305495813370585e-16	8.326672684688674e-17	1e-12	True
LHX1	TCGA_PRIMARY_CPE_N506	-0.8645189076719668	-0.8645189076719668	0.0	0.0	-0.2775882984560936	-0.2775882984560936	0.0	0.0	2.5434274313099757e-16	1.6653345369377348e-16	1e-12	True
GATA2	TCGA_NOPURITY_N507	-4.247921749727046	-4.247921749727046	0.0	0.0	-0.5390942111232797	-0.5390942111232797	0.0	0.0	1.4802129951718104e-16	1.6653345369377348e-16	1e-12	True
SOX9	TCGA_NOPURITY_N507	-4.123034660762284	-4.123034660762284	0.0	0.0	-0.5089779877688976	-0.5089779877688976	0.0	0.0	2.216061226102356e-16	1.942890293094024e-16	1e-12	True
HOXA9	TCGA_NOPURITY_N507	-2.9628415599919777	-2.9628415599919777	0.0	0.0	-0.6143320509752975	-0.6143320509752975	0.0	0.0	0.0	1.5930037159566438e-16	1e-12	True
WT1	TCGA_NOPURITY_N507	-5.9148364340534885	-5.9148364340534885	0.0	0.0	-0.5982549355797858	-0.5982549355797858	0.0	0.0	0.0	1.1102230246251565e-16	1e-12	True
PAX8	TCGA_NOPURITY_N507	-1.2369071385833348	-1.2369071385833348	0.0	0.0	-0.2565453459669662	-0.2565453459669662	0.0	0.0	0.0	6.938893903907228e-17	1e-12	True
LHX1	TCGA_NOPURITY_N507	-0.8897939166782497	-0.8897939166782497	0.0	0.0	-0.2859435127207113	-0.2859435127207113	0.0	0.0	2.220446049250313e-16	1.1102230246251565e-16	1e-12	True
GATA2	CPTAC_DISCOVERY_N95	-5.24735553596376	-5.24735553596376	0.0	0.0	-0.6890058782327285	-0.6890058782327284	1.1102230246251565e-16	1.1102230246251565e-16	1.9660233767886714e-16	2.224053472707535e-16	1e-12	True
SOX9	CPTAC_DISCOVERY_N95	-6.956713235468873	-6.956713235468873	0.0	0.0	-0.9931169047296083	-0.9931169047296083	0.0	0.0	2.0584826888659772e-16	2.281113149623889e-16	1e-12	True
HOXA9	CPTAC_DISCOVERY_N95	-2.2994691887106895	-2.2994691887106895	0.0	0.0	-0.550058794146396	-0.550058794146396	0.0	0.0	2.0689638004884304e-16	1.5663153532366434e-16	1e-12	True
WT1	CPTAC_DISCOVERY_N95	-2.256756285748049	-2.2567562857480494	4.440892098500626e-16	1.9678208615373807e-16	-0.2549806712133235	-0.2549806712133235	0.0	0.0	9.069292639273145e-17	1.1102230246251565e-16	1e-12	True
PAX8	CPTAC_DISCOVERY_N95	-0.9458177306703437	-0.9458177306703437	0.0	0.0	-0.22245681905064926	-0.2224568190506493	2.7755575615628914e-17	2.7755575615628914e-17	0.0	1.1102230246251565e-16	1e-12	True
LHX1	CPTAC_DISCOVERY_N95	-2.0479933747913956	-2.0479933747913956	0.0	0.0	-0.7254925433763924	-0.7254925433763924	0.0	0.0	0.0	1.6555594076843627e-16	1e-12	True
GATA2	CPTAC_CONFIRMATORY_N135	-7.376312639906118	-7.376312639906118	0.0	0.0	-0.9986664057448125	-0.9986664057448125	0.0	0.0	2.1110826348250825e-16	2.0816681711721685e-16	1e-12	True
SOX9	CPTAC_CONFIRMATORY_N135	-4.693946151949211	-4.693946151949211	0.0	0.0	-0.640826224099431	-0.6408262240994311	1.1102230246251565e-16	1.1102230246251565e-16	2.1753818217484745e-16	2.237215413796129e-16	1e-12	True
HOXA9	CPTAC_CONFIRMATORY_N135	-0.8566398150267374	-0.8566398150267374	0.0	0.0	-0.1948357262109525	-0.1948357262109525	0.0	0.0	1.115242564699462e-16	1.40124451765705e-16	1e-12	True
WT1	CPTAC_CONFIRMATORY_N135	-1.0700106803328928	-1.0700106803328928	0.0	0.0	-0.11543592625563429	-0.11543592625563429	0.0	0.0	2.220446049250313e-16	9.8879238130678e-17	1e-12	True
PAX8	CPTAC_CONFIRMATORY_N135	-1.775688420443203	-1.775688420443203	0.0	0.0	-0.3906811528457264	-0.39068115284572635	5.551115123125783e-17	5.551115123125783e-17	1.0112501326776163e-16	1.2074821536578927e-16	1e-12	True
LHX1	CPTAC_CONFIRMATORY_N135	-2.991984352005228	-2.991984352005228	0.0	0.0	-1.00349126703642	-1.00349126703642	0.0	0.0	1.8964443336942367e-16	1.942890293094024e-16	1e-12	True
