target	model	interpretation_state
GATA2	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
PAX8	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	TCGA_PRIMARY_CPE_N506	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	TCGA_NOPURITY_N507	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	TCGA_NOPURITY_N507	SAME_DIRECTION_DISTINGUISHABLE_BELOW_MATERIALITY_FLOOR
HOXA9	TCGA_NOPURITY_N507	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
WT1	TCGA_NOPURITY_N507	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
PAX8	TCGA_NOPURITY_N507	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	TCGA_NOPURITY_N507	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_DISCOVERY_N95	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
SOX9	CPTAC_DISCOVERY_N95	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	CPTAC_DISCOVERY_N95	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_DISCOVERY_N95	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_DISCOVERY_N95	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
LHX1	CPTAC_DISCOVERY_N95	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_CONFIRMATORY_N135	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_CONFIRMATORY_N135	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_CONFIRMATORY_N135	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
WT1	CPTAC_CONFIRMATORY_N135	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_CONFIRMATORY_N135	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	CPTAC_CONFIRMATORY_N135	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
LHX1	CPTAC_FIXED_EFFECT_META	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
