model	target	residual_SD_taskA	residual_SD_frozen	residual_SD_abs_delta	C2_coefficient_taskA	C2_coefficient_frozen	C2_coefficient_abs_delta	C2_d_taskA	C2_d_frozen	C2_d_abs_delta	PM_coefficient_taskA	C3_coefficient_frozen	PM_coefficient_abs_delta	PM_d_taskA	C3_d_frozen	PM_d_abs_delta	scaled_1e12_pass
TCGA_PRIMARY_CPE_N506	GATA2	7.866733242530207	7.866733242530207	0.0	-4.35054624980171	-4.350546249801706	3.552713678800501e-15	-0.5530308599103364	-0.553030859910336	4.440892098500626e-16	-2.0317836442761656	-2.0317836442761674	1.7763568394002505e-15	-0.2582753961061829	-0.2582753961061831	2.220446049250313e-16	True
TCGA_PRIMARY_CPE_N506	SOX9	8.048453155611263	8.048453155611263	0.0	-4.242428087949566	-4.242428087949566	0.0	-0.5271109871580488	-0.5271109871580488	0.0	-2.6298890577118303	-2.6298890577118286	1.7763568394002505e-15	-0.3267570807538726	-0.3267570807538724	2.220446049250313e-16	True
TCGA_PRIMARY_CPE_N506	HOXA9	4.768459642753491	4.768459642753491	0.0	-3.080517359062466	-3.0805173590624655	4.440892098500626e-16	-0.64601938358519	-0.64601938358519	0.0	-1.1341436668087077	-1.1341436668087042	3.552713678800501e-15	-0.2378427735111982	-0.23784277351119745	7.494005416219807e-16	True
TCGA_PRIMARY_CPE_N506	WT1	9.901361371130976	9.901361371130976	0.0	-5.851230229526426	-5.851230229526429	3.552713678800501e-15	-0.5909520933744157	-0.5909520933744161	4.440892098500626e-16	-1.6743109098277549	-1.6743109098277529	1.9984014443252818e-15	-0.1690990609341337	-0.16909906093413354	1.6653345369377348e-16	True
TCGA_PRIMARY_CPE_N506	PAX8	4.823278858927491	4.823278858927491	0.0	-1.1872375555572268	-1.1872375555572265	2.220446049250313e-16	-0.2461474010277776	-0.24614740102777757	2.7755575615628914e-17	-0.6762442593344007	-0.6762442593343998	8.881784197001252e-16	-0.1402042633472722	-0.14020426334727204	1.6653345369377348e-16	True
TCGA_PRIMARY_CPE_N506	LHX1	3.114392474323656	3.114392474323656	0.0	-0.8645189076719668	-0.8645189076719667	1.1102230246251565e-16	-0.2775882984560936	-0.27758829845609356	5.551115123125783e-17	-0.204320726740055	-0.20432072674005508	8.326672684688674e-17	-0.0656053238069896	-0.06560532380698963	4.163336342344337e-17	True
TCGA_NOPURITY_N507	GATA2	7.879739129225473	7.879739129225473	0.0	-4.247921749727046	-4.247921749727045	8.881784197001252e-16	-0.5390942111232797	-0.5390942111232796	1.1102230246251565e-16	-2.2257418861610745	-2.2257418861610745	0.0	-0.2824639051698975	-0.2824639051698975	0.0	True
TCGA_NOPURITY_N507	SOX9	8.100614878917623	8.100614878917623	0.0	-4.123034660762284	-4.123034660762284	0.0	-0.5089779877688976	-0.5089779877688976	0.0	-2.929501426975488	-2.929501426975488	0.0	-0.3616393904368551	-0.3616393904368551	0.0	True
TCGA_NOPURITY_N507	HOXA9	4.822866648888411	4.822866648888411	0.0	-2.962841559991978	-2.9628415599919755	2.6645352591003757e-15	-0.6143320509752975	-0.6143320509752971	4.440892098500626e-16	-1.3603404124418343	-1.3603404124418361	1.7763568394002505e-15	-0.2820605485236399	-0.2820605485236403	4.440892098500626e-16	True
TCGA_NOPURITY_N507	WT1	9.886815941303103	9.886815941303105	1.7763568394002505e-15	-5.9148364340534885	-5.914836434053484	4.440892098500626e-15	-0.5982549355797858	-0.5982549355797854	4.440892098500626e-16	-1.613208098700138	-1.6132080987001416	3.552713678800501e-15	-0.1631676070716366	-0.16316760707163697	3.608224830031759e-16	True
TCGA_NOPURITY_N507	PAX8	4.821397690615693	4.821397690615693	0.0	-1.2369071385833348	-1.2369071385833337	1.1102230246251565e-15	-0.25654534596696615	-0.256545345966966	1.6653345369377348e-16	-0.6025424283734448	-0.6025424283734466	1.7763568394002505e-15	-0.1249725633598377	-0.12497256335983807	3.7470027081099033e-16	True
TCGA_NOPURITY_N507	LHX1	3.111782142605681	3.111782142605681	0.0	-0.8897939166782496	-0.8897939166782498	2.220446049250313e-16	-0.28594351272071117	-0.28594351272071133	1.6653345369377348e-16	-0.162051195065396	-0.16205119506539578	2.220446049250313e-16	-0.0520766517831164	-0.05207665178311636	4.163336342344337e-17	True
CPTAC_DISCOVERY_N95	GATA2	7.615835657923572	7.615835657923572	0.0	-5.24735553596376	-5.247355535963765	4.440892098500626e-15	-0.6890058782327284	-0.6890058782327291	6.661338147750939e-16	0.9421421558742952	0.9421421558743042	8.992806499463768e-15	0.1237083096579275	0.12370830965792867	1.1657341758564144e-15	True
CPTAC_DISCOVERY_N95	SOX9	7.004928827953994	7.004928827953994	0.0	-6.956713235468873	-6.956713235468889	1.5987211554602254e-14	-0.9931169047296083	-0.9931169047296106	2.220446049250313e-15	-4.143845585383669	-4.143845585383673	3.552713678800501e-15	-0.591561411565977	-0.5915614115659775	5.551115123125783e-16	True
CPTAC_DISCOVERY_N95	HOXA9	4.180406191449227	4.180406191449227	0.0	-2.29946918871069	-2.2994691887106917	1.7763568394002505e-15	-0.550058794146396	-0.5500587941463966	5.551115123125783e-16	-2.690716143630332	-2.6907161436303326	4.440892098500626e-16	-0.6436494494563787	-0.6436494494563789	2.220446049250313e-16	True
CPTAC_DISCOVERY_N95	WT1	8.850695525309005	8.850695525309007	1.7763568394002505e-15	-2.2567562857480494	-2.256756285748043	6.217248937900877e-15	-0.2549806712133235	-0.2549806712133228	7.216449660063518e-16	4.042391154129362	4.042391154129369	7.105427357601002e-15	0.4567314673259229	0.4567314673259236	7.216449660063518e-16	True
CPTAC_DISCOVERY_N95	PAX8	4.251691338151332	4.251691338151332	0.0	-0.9458177306703437	-0.9458177306703455	1.7763568394002505e-15	-0.2224568190506493	-0.22245681905064968	3.885780586188048e-16	-2.8625246450470048	-2.862524645047003	1.7763568394002505e-15	-0.6732672758628928	-0.6732672758628924	4.440892098500626e-16	True
CPTAC_DISCOVERY_N95	LHX1	2.8229006534790497	2.82290065347905	4.440892098500626e-16	-2.0479933747913956	-2.0479933747913996	3.9968028886505635e-15	-0.7254925433763924	-0.7254925433763936	1.2212453270876722e-15	-0.5358992759100225	-0.535899275910019	3.552713678800501e-15	-0.1898399347669426	-0.18983993476694133	1.27675647831893e-15	True
CPTAC_CONFIRMATORY_N135	GATA2	7.386162784162957	7.386162784162957	0.0	-7.376312639906119	-7.3763126399061125	6.217248937900877e-15	-0.9986664057448125	-0.9986664057448118	6.661338147750939e-16	-6.2635319672787375	-6.263531967278734	3.552713678800501e-15	-0.8480089256506357	-0.8480089256506352	4.440892098500626e-16	True
CPTAC_CONFIRMATORY_N135	SOX9	7.324834682827984	7.324834682827985	1.7763568394002505e-15	-4.693946151949211	-4.693946151949199	1.1546319456101628e-14	-0.6408262240994311	-0.6408262240994294	1.7763568394002505e-15	-1.0782270880481128	-1.078227088048111	1.7763568394002505e-15	-0.1472015594530563	-0.1472015594530561	1.942890293094024e-16	True
CPTAC_CONFIRMATORY_N135	HOXA9	4.396728627167876	4.396728627167877	8.881784197001252e-16	-0.8566398150267374	-0.8566398150267318	5.551115123125783e-15	-0.19483572621095252	-0.1948357262109512	1.3322676295501878e-15	-2.18290246764012	-2.182902467640119	8.881784197001252e-16	-0.4964833294808604	-0.4964833294808601	2.7755575615628914e-16	True
CPTAC_CONFIRMATORY_N135	WT1	9.26930389039666	9.269303890396658	1.7763568394002505e-15	-1.0700106803328928	-1.0700106803328815	1.1324274851176597e-14	-0.1154359262556342	-0.11543592625563308	1.124100812432971e-15	-0.1449276942055499	-0.14492769420554197	7.93809462606987e-15	-0.01563522956192	-0.015635229561919144	8.569533971325427e-16	True
CPTAC_CONFIRMATORY_N135	PAX8	4.545108991076397	4.545108991076398	8.881784197001252e-16	-1.7756884204432033	-1.775688420443208	4.6629367034256575e-15	-0.39068115284572635	-0.3906811528457274	1.0547118733938987e-15	-2.9716160339375044	-2.9716160339375044	0.0	-0.653805231023459	-0.6538052310234589	1.1102230246251565e-16	True
CPTAC_CONFIRMATORY_N135	LHX1	2.981574877917337	2.9815748779173377	4.440892098500626e-16	-2.991984352005228	-2.991984352005227	8.881784197001252e-16	-1.00349126703642	-1.0034912670364196	4.440892098500626e-16	-2.3155889378179357	-2.315588937817939	3.1086244689504383e-15	-0.7766328308465624	-0.7766328308465634	9.992007221626409e-16	True
