target	contrast	stage	from_n	to_n	from_coefficient	to_coefficient	from_residual_sd	to_residual_sd	from_d	to_d	delta_d	coefficient_numerator_component	residual_sd_denominator_component	decomposition_identity_error	decomposition
GATA2	C2	purity_covariate_removal_common_n506	506	506	-4.350546249801706	-4.2539107386284769	7.8667332425302066	7.887491856298368	-0.55303085991033596	-0.53932362988516025	0.01370723002517571	0.012267906335854287	0.0014393236893214415	-1.9298798670241979e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
GATA2	C2	sample_set_change_common_n506_to_official_n507	506	507	-4.2539107386284769	-4.2479217497270447	7.887491856298368	7.8797391292254728	-0.53932362988516025	-0.5390942111232796	0.00022941876188065091	0.00075967560250429507	-0.00053025684062362702	-1.713039432527097e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
GATA2	C2	total_primary_n506_to_official_n507	506	507	-4.350546249801706	-4.2479217497270447	7.8667332425302066	7.8797391292254728	-0.55303085991033596	-0.5390942111232796	0.01393664878705636	0.013034610884592599	0.00090203790246379527	-3.3935527998796289e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
SOX9	C2	purity_covariate_removal_common_n506	506	506	-4.2424280879495662	-4.0943442167848749	8.0484531556112628	8.1059635193128603	-0.52711098715804883	-0.505102719378134	0.022008267779914825	0.018333778429262475	0.0036744893506524272	-7.6761513811973714e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
SOX9	C2	sample_set_change_common_n506_to_official_n507	506	507	-4.0943442167848749	-4.1230346607622836	8.1059635193128603	8.1006148789176233	-0.505102719378134	-0.50897798776889758	-0.0038752683907635754	-0.0035405927639210496	-0.00033467562684251994	-5.8546917314217239e-18	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
SOX9	C2	total_primary_n506_to_official_n507	506	507	-4.2424280879495662	-4.1230346607622836	8.0484531556112628	8.1006148789176233	-0.52711098715804883	-0.50897798776889758	0.01813299938915125	0.014786571283969766	0.0033464281051815638	-8.0230960763927328e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
HOXA9	C2	purity_covariate_removal_common_n506	506	506	-3.0805173590624655	-2.9678807961692755	4.7684596427534913	4.827544740666279	-0.64601938358518995	-0.61478058839484939	0.031238795190340563	0.023476611476093725	0.0077621837142469036	-6.591949208711867e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
HOXA9	C2	sample_set_change_common_n506_to_official_n507	506	507	-2.9678807961692755	-2.9628415599919755	4.827544740666279	4.8228666488884109	-0.61478058839484939	-0.61433205097529708	0.00044853741955230841	0.001044357003664103	-0.00059581958411184628	5.1716443627558562e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
HOXA9	C2	total_primary_n506_to_official_n507	506	507	-3.0805173590624655	-2.9628415599919755	4.7684596427534913	4.8228666488884109	-0.64601938358518995	-0.61433205097529708	0.031687332609892871	0.024538751394192624	0.0071485812157002625	-1.5612511283791264e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
WT1	C2	purity_covariate_removal_common_n506	506	506	-5.8512302295264291	-5.8826256884291581	9.9013613711309763	9.8938600133497108	-0.59095209337441612	-0.59457336979619435	-0.0036212764217782301	-0.0031720244801888443	-0.00044925194158938986	4.0657581468206416e-18	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
WT1	C2	sample_set_change_common_n506_to_official_n507	506	507	-5.8826256884291581	-5.914836434053484	9.8938600133497108	9.8868159413031051	-0.59457336979619435	-0.59825493557978537	-0.0036815657835910232	-0.0032567895842311317	-0.00042477619935992367	3.2255014631443757e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
WT1	C2	total_primary_n506_to_official_n507	506	507	-5.8512302295264291	-5.914836434053484	9.9013613711309763	9.8868159413031051	-0.59095209337441612	-0.59825493557978537	-0.0073028422053692532	-0.0064287112339606661	-0.00087413097140862323	3.6103932343767298e-17	symmetric Shapley: num=0.5*(b1-b0)*(1/s0+1/s1); den=0.5*(b0+b1)*(1/s1-1/s0)
