config	module	contrast	n	sigma_resid	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
PRIMARY	M1	C1	506	0.1272176976542097	10.353893805655094	1.2751175777995616e-06	6.6943672834476982e-06	True	0.051952391624045635	0.40837393367436486	0.023166384736883049	0.080911820740337467	0.18608512895913049	0.62887113026800179	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M1	C2	506	0.1272176976542097	10.353893805655094	1.2751175777995616e-06	6.6943672834476982e-06	True	-0.040948462596113178	-0.32187709219054689	-0.071698927950615443	-0.0068265888547629191	-0.60327126577173518	-0.050456608252983051	0.0094952523738130942	0.021054690046281209	DESCRIPTIVE	|d|<0.5
PRIMARY	M1	C3	506	0.1272176976542097	10.353893805655094	1.2751175777995616e-06	6.6943672834476982e-06	True	0.026949404997314907	0.21183691808796962	-0.013603784706095733	0.065896001858693029	-0.11058382233766835	0.51985547071942695	0.20239880059970014	0.29929321053758834	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_DLX5	C1	506	6.4102961629111306	5.4956754920625732	0.0010140478535835714	0.0015210717803753569	True	-1.9086992890710317	-0.29775524259151037	-3.2043834315175146	-0.54025235902314328	-0.5062484757274095	-0.085290147269377253	0.0049975012493753126	0.01158511653264277	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_DLX5	C2	506	6.4102961629111306	5.4956754920625732	0.0010140478535835714	0.0015210717803753569	True	-2.3014124222976111	-0.35901811145843571	-4.0133248862876361	-0.5461307909784151	-0.64006310008766409	-0.087697453230402386	0.0039980009995002497	0.0097094309987863208	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_DLX5	C3	506	6.4102961629111306	5.4956754920625732	0.0010140478535835714	0.0015210717803753569	True	-0.53347452759584613	-0.083221510213902103	-2.8562206100499492	1.6923815105500328	-0.4490009305934029	0.26794762811261225	0.61769115442278866	0.68483149729483084	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_EMX2	C1	506	3.0369562239677053	1.9807478653516839	0.11591806050646547	0.13523773725754304	False	0.14956879556595071	0.04924957244544767	-0.45396001661037794	0.8061221749733859	-0.15009153153886687	0.27027957186016044			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_EMX2	C2	506	3.0369562239677053	1.9807478653516839	0.11591806050646547	0.13523773725754304	False	0.91436083876892749	0.30107804371784408	0.17778055295097905	1.7486063816544493	0.058277387782145508	0.58094558418739217			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_EMX2	C3	506	3.0369562239677053	1.9807478653516839	0.11591806050646547	0.13523773725754304	False	0.59214274247000098	0.1949790180697375	-0.43745916625999604	1.5709998005376142	-0.14623273550586469	0.52697400410765405			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_FOXA2	C1	506	9.9776178300285405	4.9065251716321914	0.0022751537702914463	0.0029861393235075234	True	-0.42740432622456259	-0.0428363095786502	-2.5729486811570714	1.5534139272609591	-0.25894500367568307	0.1586862973010455	0.66816591704147921	0.72503110147054128	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
PRIMARY	M3_FOXA2	C2	506	9.9776178300285405	4.9065251716321914	0.0022751537702914463	0.0029861393235075234	True	-4.0705209966420259	-0.40796521434118532	-6.6700440559998322	-1.5281275037432673	-0.68017267741920295	-0.15369061399877515	0.0014992503748125937	0.0054615549368173056	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_FOXA2	C3	506	9.9776178300285405	4.9065251716321914	0.0022751537702914463	0.0029861393235075234	True	-4.9231355217285149	-0.49341792856726729	-7.9921650394622485	-1.8456146657601675	-0.80772506294273505	-0.18890604153472676	0.0029985007496251873	0.0080486072753097136	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_GATA2	C1	506	7.8667332425302066	6.238835755938883	0.00036503850232717853	0.00076658085488707486	True	-0.48915692524014776	-0.062180438837763155	-2.1025565154216075	1.1868344363103993	-0.27322843049868917	0.1518989537964904	0.5237381309345327	0.60706010631048113	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
PRIMARY	M3_GATA2	C2	506	7.8667332425302066	6.238835755938883	0.00036503850232717853	0.00076658085488707486	True	-4.350546249801706	-0.55303085991033596	-6.5566247038694243	-2.2505419739627959	-0.85539907348606281	-0.28652971157688523	0.00049975012493753122	0.0019605581824472381	CAT2_DEPLETION	
PRIMARY	M3_GATA2	C3	506	7.8667332425302066	6.238835755938883	0.00036503850232717853	0.00076658085488707486	True	-2.0317836442761674	-0.25827539610618311	-4.9109088817096849	0.84953053781649002	-0.63793185648576545	0.11055573794271496	0.11544227886056972	0.18992116844803406	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_GATA3	C1	506	11.735029128628961	1.2694571667701544	0.28415281822451416	0.29836045913573989	False	-1.2397264751743755	-0.10564323800014432	-3.7019966042919354	1.3177248960429115	-0.31834314208836506	0.11245186012021843			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_GATA3	C2	506	11.735029128628961	1.2694571667701544	0.28415281822451416	0.29836045913573989	False	-2.1132176293067282	-0.18007774894663783	-5.2540833970948233	1.1564195054384572	-0.45853528899863211	0.10027993330630522			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_GATA3	C3	506	11.735029128628961	1.2694571667701544	0.28415281822451416	0.29836045913573989	False	-2.0334973978450321	-0.17328439286819322	-6.0709679842889832	2.4338853566228469	-0.53338539599124724	0.20979825958917903			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_HOXA10	C1	506	6.473309752102077	1.5846837091630961	0.19215827262971966	0.21238545922232172	False	1.2446479749871835	0.192273817050545	-0.10723010533729015	2.5755562355193367	-0.016442109232014984	0.40445293585888248			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_HOXA10	C2	506	6.473309752102077	1.5846837091630961	0.19215827262971966	0.21238545922232172	False	-0.46770789290419756	-0.072251739962284178	-2.0377745765973403	1.1925439197360017	-0.31794425749743488	0.18495250029625648			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_HOXA10	C3	506	6.473309752102077	1.5846837091630961	0.19215827262971966	0.21238545922232172	False	-1.7547153649359863	-0.27106927246393203	-3.8058839474584203	0.45540436370678739	-0.599895895075926	0.070891188729607646			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_HOXA11	C1	506	2.8882131326680067	5.5860651353274697	0.00089564983624021053	0.0014681451096908739	True	0.1084539935292787	0.03755055065105032	-0.54268505446216997	0.72601767775270276	-0.19024193511464141	0.25320390685219557	0.70814592703648171	0.73704984242572591	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
PRIMARY	M3_HOXA11	C2	506	2.8882131326680067	5.5860651353274697	0.00089564983624021053	0.0014681451096908739	True	-1.4214252110694594	-0.49214692468225435	-2.0967122425969582	-0.73321320654496114	-0.74428753304718986	-0.25314481226730962	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_HOXA11	C3	506	2.8882131326680067	5.5860651353274697	0.00089564983624021053	0.0014681451096908739	True	0.0042648449097296703	0.0014766378774096877	-0.94580195148190704	0.98457644544907197	-0.3261387392591506	0.34687086881946277	0.99400299850074958	0.99400299850074958	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_HOXA13	C1	506	4.6321550685451935	7.6474855350449964	5.249893582381232e-05	0.00018374627538334312	True	0.93098259898325475	0.20098260641253651	-0.0072371804588664355	1.8740592324663248	-0.001581323516443059	0.40891410296234509	0.046476761619190406	0.087789438614026327	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_HOXA13	C2	506	4.6321550685451935	7.6474855350449964	5.249893582381232e-05	0.00018374627538334312	True	-2.2345126945494282	-0.48239159991058217	-3.4111933596367039	-1.0071931721515306	-0.75120720847194178	-0.21722923771826144	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_HOXA13	C3	506	4.6321550685451935	7.6474855350449964	5.249893582381232e-05	0.00018374627538334312	True	0.42439692798997797	0.091619758343553681	-1.0960657244528875	1.9550330022622942	-0.23956078314248119	0.42869989917248802	0.567216391804098	0.64284524404464438	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_HOXA9	C1	506	4.7684596427534913	11.396341964484568	3.0655806999036569e-07	2.1459064899325598e-06	True	-1.4094017912964154	-0.2955675200980778	-2.4016877283424618	-0.43674970009003944	-0.51423659511546815	-0.092008543819349767	0.0034982508745627187	0.0089205397301349333	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_HOXA9	C2	506	4.7684596427534913	11.396341964484568	3.0655806999036569e-07	2.1459064899325598e-06	True	-3.0805173590624655	-0.64601938358518995	-4.2773001654588665	-1.8490839165596866	-0.92115566931922355	-0.38174878936338896	0.00049975012493753122	0.0019605581824472381	CAT2_DEPLETION	
PRIMARY	M3_HOXA9	C3	506	4.7684596427534913	11.396341964484568	3.0655806999036569e-07	2.1459064899325598e-06	True	-1.1341436668087042	-0.23784277351119745	-2.6960184377007477	0.5359322101530265	-0.57327616785216529	0.1118330425419138	0.14742628685657172	0.23092998955067923	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_LHX1	C1	506	3.114392474323656	30.695500287342032	3.1746044864651939e-18	6.6666694215769077e-17	True	2.9948643724416097	0.96162073249679181	2.3317491551753431	3.6453883885569414	0.73448983799134326	1.2071228317759897	0.00049975012493753122	0.0019605581824472381	CAT1_ENRICHMENT	
PRIMARY	M3_LHX1	C2	506	3.114392474323656	30.695500287342032	3.1746044864651939e-18	6.6666694215769077e-17	True	-0.86451890767196671	-0.27758829845609356	-1.5868660663003042	-0.14774254274888662	-0.51822641797853553	-0.047526411795018729	0.017991004497751123	0.038230884557721133	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_LHX1	C3	506	3.114392474323656	30.695500287342032	3.1746044864651939e-18	6.6666694215769077e-17	True	-0.20432072674005508	-0.065605323806989635	-1.0541056135502691	0.64724307183708896	-0.3427302422241813	0.20722144147971014	0.69565217391304346	0.73704984242572591	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_MSX1	C1	506	5.5074078417180088	8.6346910923840081	1.3497575330565364e-05	5.6689816388374524e-05	True	-2.2470216812332198	-0.40799986959605161	-3.4031826886720014	-1.125585652282262	-0.63450323664401065	-0.20325716449423939	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_MSX1	C2	506	5.5074078417180088	8.6346910923840081	1.3497575330565364e-05	5.6689816388374524e-05	True	-2.0332691062492954	-0.36918803994276683	-3.4027462668890092	-0.61264391605538515	-0.6349550744167598	-0.11181594465112978	0.0019990004997501249	0.0059970014992503746	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_MSX1	C3	506	5.5074078417180088	8.6346910923840081	1.3497575330565364e-05	5.6689816388374524e-05	True	-1.1966872044964436	-0.21728683236997079	-3.0380395230486297	0.72708384970818618	-0.55560331943481023	0.13228580883475227	0.20539730134932535	0.29929321053758834	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_MSX2	C1	506	6.6676280017594296	6.5164344583598073	0.00024912855852055895	0.00058129996988130425	True	-2.4328803771766818	-0.36487944086483259	-3.9165111854077885	-1.0243161456728485	-0.60295940508813661	-0.15534560587031238	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_MSX2	C2	506	6.6676280017594296	6.5164344583598073	0.00024912855852055895	0.00058129996988130425	True	-0.77319275632742634	-0.11596219167047098	-2.4779536938543041	0.94862968196377306	-0.37614080700826857	0.14444862569884551	0.34432783608195899	0.45027486256871557	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_MSX2	C3	506	6.6676280017594296	6.5164344583598073	0.00024912855852055895	0.00058129996988130425	True	-2.0426418738870904	-0.30635210502866767	-4.3747208809754756	0.29761576333094003	-0.66747644517463389	0.044685032276037102	0.057971014492753624	0.10194902548725639	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_PAX2	C1	506	4.5584865816380331	0.93548443544675719	0.42327092599124094	0.42327092599124089	False	-0.36018090414905346	-0.079013264095125865	-1.3146929972558927	0.62197481838789392	-0.29614101472713472	0.13628154710680668			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_PAX2	C2	506	4.5584865816380331	0.93548443544675719	0.42327092599124094	0.42327092599124089	False	-0.50565661564073405	-0.11092642406310055	-1.6695362239398002	0.71111953404217498	-0.37077596614642394	0.15854487481406204			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_PAX2	C3	506	4.5584865816380331	0.93548443544675719	0.42327092599124094	0.42327092599124089	False	0.72539510546773833	0.15913068788875911	-0.92784258401725939	2.311531141476701	-0.20308399054755641	0.5153647331746376			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
PRIMARY	M3_PAX8	C1	506	4.8232788589274911	15.717343405946096	8.810293651302956e-10	9.2508083338681042e-09	True	3.3428904413147293	0.69307426319075771	2.3083392693042302	4.3309366849478019	0.47340531396777991	0.92419280464908138	0.00049975012493753122	0.0019605581824472381	CAT1_ENRICHMENT	
PRIMARY	M3_PAX8	C2	506	4.8232788589274911	15.717343405946096	8.810293651302956e-10	9.2508083338681042e-09	True	-1.1872375555572265	-0.24614740102777757	-2.479514824392357	0.030170727388607776	-0.51894015736918242	0.0061077851625825621	0.037981009495252377	0.077481259370314859	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_PAX8	C3	506	4.8232788589274911	15.717343405946096	8.810293651302956e-10	9.2508083338681042e-09	True	-0.6762442593343998	-0.14020426334727204	-2.3138248827741785	0.8429338583541286	-0.48460832476504967	0.17775456811040269	0.41479260369815091	0.51596153142940726	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_SALL1	C1	506	3.3333757197786515	4.2612874560630924	0.0054950772775897369	0.0067880366370226168	True	1.1082525661577791	0.33247154216128122	0.34828953048072636	1.8275220650936506	0.10575703623692818	0.55982860761013198	0.0019990004997501249	0.0059970014992503746	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_SALL1	C2	506	3.3333757197786515	4.2612874560630924	0.0054950772775897369	0.0067880366370226168	True	0.32672921398109955	0.098017517810082194	-0.50220691973094189	1.1522194412104583	-0.15323640690495599	0.34920229020589905	0.40779610194902549	0.51596153142940726	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_SALL1	C3	506	3.3333757197786515	4.2612874560630924	0.0054950772775897369	0.0067880366370226168	True	-0.96770878235365965	-0.29030894315685452	-2.0424827893414341	0.12541461447060387	-0.6221006539562608	0.038125092958638265	0.081459270364817593	0.13848075962018991	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_SIX1	C1	506	4.4573520536466207	6.5490629321056417	0.00023818723298096335	0.00058129996988130425	True	-1.6052668062071931	-0.36013911104327118	-2.5419317237667034	-0.62229539174603055	-0.57997981688896727	-0.1397420652168001	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_SIX1	C2	506	4.4573520536466207	6.5490629321056417	0.00023818723298096335	0.00058129996988130425	True	-1.5321119696374552	-0.34372693724831843	-2.5932635431560858	-0.39992297836349355	-0.59215350583055304	-0.089935780868291793	0.0019990004997501249	0.0059970014992503746	DESCRIPTIVE	|d|<0.5
