config	module	contrast	numeric_max_abs_delta	category_match	gate_match	all_fields_match_tolerance_1e-12	mismatch_fields
PRIMARY	M1	C1	0	True	True	True	
PRIMARY	M1	C2	0	True	True	True	
PRIMARY	M1	C3	0	True	True	True	
PRIMARY	M3_DLX5	C1	0	True	True	True	
PRIMARY	M3_DLX5	C2	0	True	True	True	
PRIMARY	M3_DLX5	C3	0	True	True	True	
PRIMARY	M3_EMX2	C1	0	True	True	True	
PRIMARY	M3_EMX2	C2	0	True	True	True	
PRIMARY	M3_EMX2	C3	0	True	True	True	
PRIMARY	M3_FOXA2	C1	0	True	True	True	
PRIMARY	M3_FOXA2	C2	0	True	True	True	
PRIMARY	M3_FOXA2	C3	0	True	True	True	
PRIMARY	M3_GATA2	C1	0	True	True	True	
PRIMARY	M3_GATA2	C2	0	True	True	True	
PRIMARY	M3_GATA2	C3	0	True	True	True	
PRIMARY	M3_GATA3	C1	0	True	True	True	
PRIMARY	M3_GATA3	C2	0	True	True	True	
PRIMARY	M3_GATA3	C3	0	True	True	True	
PRIMARY	M3_HOXA10	C1	0	True	True	True	
PRIMARY	M3_HOXA10	C2	0	True	True	True	
PRIMARY	M3_HOXA10	C3	0	True	True	True	
PRIMARY	M3_HOXA11	C1	0	True	True	True	
PRIMARY	M3_HOXA11	C2	0	True	True	True	
PRIMARY	M3_HOXA11	C3	0	True	True	True	
PRIMARY	M3_HOXA13	C1	0	True	True	True	
PRIMARY	M3_HOXA13	C2	0	True	True	True	
PRIMARY	M3_HOXA13	C3	0	True	True	True	
PRIMARY	M3_HOXA9	C1	0	True	True	True	
PRIMARY	M3_HOXA9	C2	0	True	True	True	
PRIMARY	M3_HOXA9	C3	0	True	True	True	
PRIMARY	M3_LHX1	C1	0	True	True	True	
PRIMARY	M3_LHX1	C2	0	True	True	True	
PRIMARY	M3_LHX1	C3	0	True	True	True	
PRIMARY	M3_MSX1	C1	0	True	True	True	
PRIMARY	M3_MSX1	C2	0	True	True	True	
PRIMARY	M3_MSX1	C3	0	True	True	True	
PRIMARY	M3_MSX2	C1	0	True	True	True	
PRIMARY	M3_MSX2	C2	0	True	True	True	
PRIMARY	M3_MSX2	C3	0	True	True	True	
PRIMARY	M3_PAX2	C1	0	True	True	True	
PRIMARY	M3_PAX2	C2	0	True	True	True	
PRIMARY	M3_PAX2	C3	0	True	True	True	
PRIMARY	M3_PAX8	C1	0	True	True	True	
PRIMARY	M3_PAX8	C2	0	True	True	True	
PRIMARY	M3_PAX8	C3	0	True	True	True	
PRIMARY	M3_SALL1	C1	0	True	True	True	
PRIMARY	M3_SALL1	C2	0	True	True	True	
PRIMARY	M3_SALL1	C3	0	True	True	True	
PRIMARY	M3_SIX1	C1	0	True	True	True	
PRIMARY	M3_SIX1	C2	0	True	True	True	
PRIMARY	M3_SIX1	C3	0	True	True	True	
PRIMARY	M3_SOX17	C1	0	True	True	True	
PRIMARY	M3_SOX17	C2	0	True	True	True	
PRIMARY	M3_SOX17	C3	0	True	True	True	
PRIMARY	M3_SOX9	C1	0	True	True	True	
PRIMARY	M3_SOX9	C2	0	True	True	True	
PRIMARY	M3_SOX9	C3	0	True	True	True	
PRIMARY	M3_TBX18	C1	0	True	True	True	
PRIMARY	M3_TBX18	C2	0	True	True	True	
PRIMARY	M3_TBX18	C3	0	True	True	True	
PRIMARY	M3_WT1	C1	0	True	True	True	
PRIMARY	M3_WT1	C2	0	True	True	True	
PRIMARY	M3_WT1	C3	0	True	True	True	
SENS_nopurity	M1	C1	0	True	True	True	
SENS_nopurity	M1	C2	0	True	True	True	
SENS_nopurity	M1	C3	0	True	True	True	
SENS_nopurity	M3_DLX5	C1	0	True	True	True	
SENS_nopurity	M3_DLX5	C2	0	True	True	True	
SENS_nopurity	M3_DLX5	C3	0	True	True	True	
SENS_nopurity	M3_EMX2	C1	0	True	True	True	
SENS_nopurity	M3_EMX2	C2	0	True	True	True	
SENS_nopurity	M3_EMX2	C3	0	True	True	True	
SENS_nopurity	M3_FOXA2	C1	0	True	True	True	
SENS_nopurity	M3_FOXA2	C2	0	True	True	True	
SENS_nopurity	M3_FOXA2	C3	0	True	True	True	
SENS_nopurity	M3_GATA2	C1	0	True	True	True	
SENS_nopurity	M3_GATA2	C2	0	True	True	True	
SENS_nopurity	M3_GATA2	C3	0	True	True	True	
SENS_nopurity	M3_GATA3	C1	0	True	True	True	
SENS_nopurity	M3_GATA3	C2	0	True	True	True	
SENS_nopurity	M3_GATA3	C3	0	True	True	True	
SENS_nopurity	M3_HOXA10	C1	0	True	True	True	
SENS_nopurity	M3_HOXA10	C2	0	True	True	True	
SENS_nopurity	M3_HOXA10	C3	0	True	True	True	
SENS_nopurity	M3_HOXA11	C1	0	True	True	True	
SENS_nopurity	M3_HOXA11	C2	0	True	True	True	
SENS_nopurity	M3_HOXA11	C3	0	True	True	True	
SENS_nopurity	M3_HOXA13	C1	0	True	True	True	
SENS_nopurity	M3_HOXA13	C2	0	True	True	True	
SENS_nopurity	M3_HOXA13	C3	0	True	True	True	
SENS_nopurity	M3_HOXA9	C1	0	True	True	True	
SENS_nopurity	M3_HOXA9	C2	0	True	True	True	
SENS_nopurity	M3_HOXA9	C3	0	True	True	True	
SENS_nopurity	M3_LHX1	C1	0	True	True	True	
SENS_nopurity	M3_LHX1	C2	0	True	True	True	
SENS_nopurity	M3_LHX1	C3	0	True	True	True	
SENS_nopurity	M3_MSX1	C1	0	True	True	True	
SENS_nopurity	M3_MSX1	C2	0	True	True	True	
SENS_nopurity	M3_MSX1	C3	0	True	True	True	
SENS_nopurity	M3_MSX2	C1	0	True	True	True	
SENS_nopurity	M3_MSX2	C2	0	True	True	True	
SENS_nopurity	M3_MSX2	C3	0	True	True	True	
SENS_nopurity	M3_PAX2	C1	0	True	True	True	
SENS_nopurity	M3_PAX2	C2	0	True	True	True	
SENS_nopurity	M3_PAX2	C3	0	True	True	True	
SENS_nopurity	M3_PAX8	C1	0	True	True	True	
SENS_nopurity	M3_PAX8	C2	0	True	True	True	
SENS_nopurity	M3_PAX8	C3	0	True	True	True	
SENS_nopurity	M3_SALL1	C1	0	True	True	True	
SENS_nopurity	M3_SALL1	C2	0	True	True	True	
SENS_nopurity	M3_SALL1	C3	0	True	True	True	
SENS_nopurity	M3_SIX1	C1	0	True	True	True	
SENS_nopurity	M3_SIX1	C2	0	True	True	True	
SENS_nopurity	M3_SIX1	C3	0	True	True	True	
SENS_nopurity	M3_SOX17	C1	0	True	True	True	
SENS_nopurity	M3_SOX17	C2	0	True	True	True	
SENS_nopurity	M3_SOX17	C3	0	True	True	True	
SENS_nopurity	M3_SOX9	C1	0	True	True	True	
