target	listed_primary_edges	mapped_edges	unique_mapped_genes	full_score_max_abs_delta_vs_sealed	match_tolerance_1e-12
DLX5	31	31	31	3.5527136788005009e-15	True
EMX2	6	6	6	0	True
FOXA2	109	108	108	1.0658141036401503e-14	True
GATA2	76	75	75	8.8817841970012523e-15	True
GATA3	133	132	132	1.4210854715202004e-14	True
HOXA10	32	32	32	3.5527136788005009e-15	True
HOXA11	5	5	5	0	True
HOXA13	14	14	14	1.7763568394002505e-15	True
HOXA9	19	19	19	2.6645352591003757e-15	True
LHX1	6	6	6	0	True
MSX1	24	24	24	3.5527136788005009e-15	True
MSX2	40	40	40	5.3290705182007514e-15	True
PAX2	20	20	20	2.6645352591003757e-15	True
PAX8	23	23	23	2.6645352591003757e-15	True
SALL1	5	5	5	0	True
SIX1	15	15	15	1.7763568394002505e-15	True
SOX17	31	31	31	3.5527136788005009e-15	True
SOX9	70	70	70	7.1054273576010019e-15	True
TBX18	9	9	9	1.7763568394002505e-15	True
WT1	93	93	92	8.8817841970012523e-15	True
