target	config	contrast	locked_direction	dropped_gene	dropped_edge_count	dropped_edge_weights	dropped_edge_signs	remaining_edges	n	b	residual_sd	d	direction_pass	floor_pass	deterministic_gate_pass	bootstrap_step_id	bootstrap_seed	permutation_step_id	permutation_seed	target_config_all_deletions_point_pass
GATA2	PRIMARY	C2	negative	ADCYAP1	1	1.0	1	74	506	-4.4322939988898966	7.8427029464620901	-0.56514877959126864	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_ADCYAP1	3580817333	loo_perm__PRIMARY__M3_GATA2__drop_ADCYAP1	2104250361	False
GATA2	PRIMARY	C2	negative	ADH1A	1	1.0	1	74	506	-4.5881540132683938	7.796625613116273	-0.58847945777333932	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_ADH1A	2322531546	loo_perm__PRIMARY__M3_GATA2__drop_ADH1A	3359599552	False
GATA2	PRIMARY	C2	negative	ADH1C	1	1.0	1	74	506	-4.5398927366248643	7.6768483301071573	-0.59137455130124916	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_ADH1C	1816178939	loo_perm__PRIMARY__M3_GATA2__drop_ADH1C	1779380547	False
GATA2	PRIMARY	C2	negative	ANGPT2	1	1.0	1	74	506	-4.2559282661073468	7.7370567658970693	-0.55007070451730045	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_ANGPT2	820385388	loo_perm__PRIMARY__M3_GATA2__drop_ANGPT2	3619222968	False
GATA2	PRIMARY	C2	negative	AQP2	1	1.0	1	74	506	-5.1560907358331747	7.704964833568126	-0.66919069031563871	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_AQP2	1516899100	loo_perm__PRIMARY__M3_GATA2__drop_AQP2	2031774716	False
GATA2	PRIMARY	C2	negative	AR	1	1.0	1	74	506	-5.0933406697249595	7.6042315785805403	-0.66980346627945786	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_AR	2328362656	loo_perm__PRIMARY__M3_GATA2__drop_AR	845580949	False
GATA2	PRIMARY	C2	negative	ARRDC4	1	1.0	1	74	506	-4.5018144662652944	7.65850511226395	-0.58781895425731479	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_ARRDC4	3831272567	loo_perm__PRIMARY__M3_GATA2__drop_ARRDC4	1480246568	False
GATA2	PRIMARY	C2	negative	AZGP1	1	1.0	-1	74	506	-4.9473893819377111	7.7272548094890512	-0.64025187520182825	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_AZGP1	1012868950	loo_perm__PRIMARY__M3_GATA2__drop_AZGP1	64558888	False
GATA2	PRIMARY	C2	negative	BHLHA15	1	1.0	1	74	506	-4.0490920931845338	7.7725408695994309	-0.52094831807467989	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_BHLHA15	581311586	loo_perm__PRIMARY__M3_GATA2__drop_BHLHA15	588812009	False
GATA2	PRIMARY	C2	negative	BMP4	1	1.0	1	74	506	-4.4369147435677547	7.7545442210428881	-0.57216963590557046	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_BMP4	3790021586	loo_perm__PRIMARY__M3_GATA2__drop_BMP4	3444388407	False
GATA2	PRIMARY	C2	negative	CACNA1S	1	1.0	1	74	506	-4.3032286036446692	7.8574775050062433	-0.54766031476424193	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CACNA1S	2646527145	loo_perm__PRIMARY__M3_GATA2__drop_CACNA1S	2350378642	False
GATA2	PRIMARY	C2	negative	CASP3	1	1.0	1	74	506	-4.4313056820434511	7.7065449359043576	-0.57500549453727934	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CASP3	833627876	loo_perm__PRIMARY__M3_GATA2__drop_CASP3	2627201834	False
GATA2	PRIMARY	C2	negative	CCRL2	1	1.0	1	74	506	-4.7492055481946167	7.8425778774540635	-0.605566896804135	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CCRL2	2455816641	loo_perm__PRIMARY__M3_GATA2__drop_CCRL2	1908811059	False
GATA2	PRIMARY	C2	negative	CDX2	1	1.0	1	74	506	-4.5505357224326914	7.7975869372015634	-0.58358255689622496	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CDX2	3158315003	loo_perm__PRIMARY__M3_GATA2__drop_CDX2	3428085556	False
GATA2	PRIMARY	C2	negative	CEBPA	1	1.0	-1	74	506	-4.8525710166686622	7.5981590319202761	-0.63865088849585139	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CEBPA	3469494130	loo_perm__PRIMARY__M3_GATA2__drop_CEBPA	962682962	False
GATA2	PRIMARY	C2	negative	CGA	1	1.0	1	74	506	-4.2185493221423584	7.7879958014516921	-0.54167329178015422	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CGA	1054418337	loo_perm__PRIMARY__M3_GATA2__drop_CGA	652952567	False
GATA2	PRIMARY	C2	negative	CHST2	1	1.0	1	74	506	-4.9779939344804447	7.7764437873050687	-0.64013758353232708	True	True	True	loo_boot__PRIMARY__M3_GATA2__drop_CHST2	4269642859	loo_perm__PRIMARY__M3_GATA2__drop_CHST2	4169378676	False
