target	config	contrast	locked_direction	unique_mapped_genes_tested	total_mapped_edges	direction_fail_count	floor_fail_count	minimum_abs_d	maximum_abs_d	worst_deletion	worst_deletion_d	all_deletion_point_gate_pass	stochastic_deletions_run	stochastic_deletions_not_run_by_gate	minimum_bootstrap_CI_signed_margin_from_zero	maximum_F1_q_across_run_deletions	maximum_planned_contrast_F2_q_across_run_deletions	complete_gate_fail_count_among_run_deletions	survives_gene_LOO_any_deletion_rule	legacy_incomplete_B2_12_label	B2_12_compliant_credit_status	exact_failure_or_pass_reason
GATA2	PRIMARY	C2	negative	75	75	0	1	0.4950223807130586	0.67351331897101785	NFE2	-0.4950223807130586	False	0	75				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_1_of_75_deletions
GATA2	SENS_nopurity	C2	negative	75	75	0	2	0.48000630242816983	0.66119414724607817	NFE2	-0.48000630242816983	False	0	75				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_2_of_75_deletions
SOX9	PRIMARY	C2	negative	70	70	0	15	0.45929754860285688	0.62415957950982115	XPO4	-0.45929754860285688	False	0	70				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_15_of_70_deletions
SOX9	SENS_nopurity	C2	negative	70	70	0	28	0.44444149342410777	0.60919250268586767	XPO4	-0.44444149342410777	False	0	70				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_28_of_70_deletions
HOXA9	PRIMARY	C2	negative	19	19	0	2	0.47014730888728129	0.70270200300498564	MYCN	-0.47014730888728129	False	0	19				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_2_of_19_deletions
HOXA9	SENS_nopurity	C2	negative	19	19	0	2	0.44051947876633063	0.66664073554756609	HOXB4	-0.44051947876633063	False	0	19				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_2_of_19_deletions
WT1	PRIMARY	C2	negative	92	93	0	1	0.4876960429247098	0.6733533953691101	SULF2	-0.4876960429247098	False	0	92				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_1_of_92_deletions
WT1	SENS_nopurity	C2	negative	92	93	0	1	0.49384102146001485	0.67936131151702428	SULF2	-0.49384102146001485	False	0	92				0	False	CAT2_DEPLETION	UNCREDITED_DESCRIPTIVE_POSITIVE_GENE_LOO_FAILURE_NOT_CAT5	abs_d_below_0.50_in_1_of_92_deletions
PAX8	PRIMARY	C1	positive	23	23	0	0	0.57665465851630926	0.90856646980736544	SLC3A1	0.57665465851630926	True	23	0	0.36387612961022653	6.9129536572699372e-06	0.0019605581824472381	0	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT_CREDITED_B2.12	all mapped single-gene deletions pass direction, |d|>=0.50, bootstrap CI, F1, and full gated F2
PAX8	SENS_nopurity	C1	positive	23	23	0	0	0.56731301317354255	0.89595842957812932	HHEX	0.56731301317354255	True	23	0	0.3516641181502711	1.1036445589776041e-05	0.0018205183122724353	0	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT_CREDITED_B2.12	all mapped single-gene deletions pass direction, |d|>=0.50, bootstrap CI, F1, and full gated F2
LHX1	PRIMARY	C1	positive	6	6	0	0	0.69992534817539087	1.1858655870507468	HHEX	0.69992534817539087	True	6	0	0.49402405563538881	1.7939696813333645e-08	0.0019605581824472381	0	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT_CREDITED_B2.12	all mapped single-gene deletions pass direction, |d|>=0.50, bootstrap CI, F1, and full gated F2
LHX1	SENS_nopurity	C1	positive	6	6	0	0	0.69112822826776277	1.1863543118351463	HHEX	0.69112822826776277	True	6	0	0.47595587321672544	2.2843905131913267e-08	0.0018205183122724353	0	True	CAT1_ENRICHMENT	CAT1_ENRICHMENT_CREDITED_B2.12	all mapped single-gene deletions pass direction, |d|>=0.50, bootstrap CI, F1, and full gated F2
