module	gene	reason	composition_signature	source
M1	CD74	composition-overlap ESTIMATE	immune	SI_geneset
M1	SAMHD1	composition-overlap ESTIMATE	immune	SI_geneset
M1	SPON1	composition-overlap ESTIMATE	stromal	SI_geneset
compact_M1	CD74	composition-overlap ESTIMATE	immune	SI_geneset
compact_M1	SAMHD1	composition-overlap ESTIMATE	immune	SI_geneset
compact_M1	SPON1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	COL10A1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	COMP	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	CYBB	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	DIO2	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	EMCN	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	ERG	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	FASLG	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	FCER1G	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	FOXF1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	IGF1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	IL18R1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	IL1B	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	IL2RB	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	IL7R	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	IRF8	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	ITGA4	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	KDR	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	NCF2	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	PTGER3	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	PTGER4	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	RHOH	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	SAMHD1	composition-overlap ESTIMATE	immune	SI_geneset
M3_primary	SULF1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	TCF21	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	VCAM1	composition-overlap ESTIMATE	stromal	SI_geneset
M3_primary	WNT2	composition-overlap ESTIMATE	stromal	SI_geneset
