# orphan_target_ledger -- M3 PRIMARY admitted-target membership / orphan ledger v2
#   (SEAL CANDIDATE, TASK-028 Freeze B; Vladimir DEC-M3-DUAL-EDGE target/orphan requirement).
# ONE ROW PER ADMITTED TARGET. Scope: the 583 non-CORE admitted CollecTRI-curated
#   signed targets (targets only). A CORE_TF that ALSO appears as a target and loses ALL
#   incoming edges is recorded below in a clearly-separated NOTE block: it remains a MEMBER
#   as a REGULATOR (TF) and is NOT counted among the non-CORE orphan targets.
# Derived deterministically from sealed_v2/B1/m3_primary_edge_ledger.tsv (v2 corrected policy).
#   NO tumour value read. NO scoring. SEED 20260713.
#
# COUNTS ARE UNIQUE-TARGET counts, kept DISTINCT from EDGE counts:
#   n_admitted_incoming_edges         = admitted edge ROWS into this target (incl. any source dup).
#   n_primary_included_incoming_edges = admitted incoming edges with primary_inclusion=Y.
#   n_excluded_incoming_edges         = admitted incoming edges with primary_inclusion=N.
#   status = 'orphan' iff n_primary_included_incoming_edges == 0; else 'primary-scored'.
#   ORPHAN targets receive NO zero / arbitrary / raw-flag contribution. They simply do NOT
#   enter primary signed scoring; they are recorded here BY NAME only. Membership UNCHANGED.
#
# Columns: target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
ABCA1	ENSG00000165029	N	1	1	0	primary-scored	none
ABCA3	ENSG00000167972	N	1	1	0	primary-scored	none
ABCB1	ENSG00000085563	N	3	3	0	primary-scored	none
ABCC2	ENSG00000023839	N	2	2	0	primary-scored	none
ABCC3	ENSG00000108846	N	2	2	0	primary-scored	none
ABCC8	ENSG00000006071	N	1	1	0	primary-scored	none
ABCG2	ENSG00000118777	N	1	1	0	primary-scored	none
ACAN	ENSG00000157766	N	2	2	0	primary-scored	none
ACHE	ENSG00000087085	N	1	1	0	primary-scored	none
ACTR6	ENSG00000075089	N	1	1	0	primary-scored	none
ACVR1	ENSG00000115170	N	1	1	0	primary-scored	none
ADAM17	ENSG00000151694	N	1	1	0	primary-scored	none
ADAMTS16	ENSG00000145536	N	1	1	0	primary-scored	none
ADAT2	ENSG00000189007	N	1	1	0	primary-scored	none
ADCYAP1	ENSG00000141433	N	1	1	0	primary-scored	none
ADGRE5	ENSG00000123146	N	1	1	0	primary-scored	none
ADH1A	ENSG00000187758	N	2	2	0	primary-scored	none
ADH1C	ENSG00000248144	N	1	1	0	primary-scored	none
ADORA2B	ENSG00000170425	N	1	1	0	primary-scored	none
ADRA1D	ENSG00000171873	N	1	1	0	primary-scored	none
AFP	ENSG00000081051	N	1	1	0	primary-scored	none
AGR2	ENSG00000106541	N	1	1	0	primary-scored	none
AGXT	ENSG00000172482	N	1	1	0	primary-scored	none
AHSG	ENSG00000145192	N	1	1	0	primary-scored	none
ALDH1A2	ENSG00000128918	N	3	3	0	primary-scored	none
ALPL	ENSG00000162551	N	2	2	0	primary-scored	none
AMELX	ENSG00000125363	N	1	1	0	primary-scored	none
AMER1	ENSG00000184675	N	1	1	0	primary-scored	none
AMH	ENSG00000104899	N	2	2	0	primary-scored	none
AMHR2	ENSG00000135409	N	1	0	1	orphan	no consensus-signed primary edge
ANGPT2	ENSG00000091879	N	1	1	0	primary-scored	none
ANO2	ENSG00000047617	N	1	1	0	primary-scored	none
APBA1	ENSG00000107282	N	1	1	0	primary-scored	none
APOA1	ENSG00000118137	N	1	1	0	primary-scored	none
APOB	ENSG00000084674	N	1	1	0	primary-scored	none
APOM	ENSG00000204444	N	1	1	0	primary-scored	none
AQP2	ENSG00000167580	N	1	1	0	primary-scored	none
AQP3	ENSG00000165272	N	1	0	1	orphan	no consensus-signed primary edge
AQP9	ENSG00000103569	N	1	1	0	primary-scored	none
AR	ENSG00000169083	N	3	3	0	primary-scored	none
AREG	ENSG00000109321	N	1	1	0	primary-scored	none
ARHGEF1	ENSG00000076928	N	1	1	0	primary-scored	none
ARNT2	ENSG00000172379	N	1	1	0	primary-scored	none
ARRDC4	ENSG00000140450	N	1	1	0	primary-scored	none
ASAH2	ENSG00000188611	N	1	0	1	orphan	no consensus-signed primary edge
ASXL3	ENSG00000141431	N	1	1	0	primary-scored	none
ATOH1	ENSG00000172238	N	1	1	0	primary-scored	none
ATOH7	ENSG00000179774	N	1	1	0	primary-scored	none
ATP7A	ENSG00000165240	N	1	1	0	primary-scored	none
AXIN2	ENSG00000168646	N	1	1	0	primary-scored	none
AZGP1	ENSG00000160862	N	1	1	0	primary-scored	none
BAIAP3	ENSG00000007516	N	1	1	0	primary-scored	none
BAK1	ENSG00000030110	N	1	1	0	primary-scored	none
BCAS3	ENSG00000141376	N	1	1	0	primary-scored	none
BCL2L1	ENSG00000171552	N	2	2	0	primary-scored	none
BEST1	ENSG00000167995	N	1	1	0	primary-scored	none
BGLAP	ENSG00000242252	N	3	3	0	primary-scored	none
BHLHA15	ENSG00000180535	N	1	1	0	primary-scored	none
BHLHE22	ENSG00000180828	N	1	1	0	primary-scored	none
BHLHE40	ENSG00000134107	N	1	0	1	orphan	no consensus-signed primary edge
BHLHE41	ENSG00000123095	N	1	1	0	primary-scored	none
BIRC3	ENSG00000023445	N	1	1	0	primary-scored	none
BMP2	ENSG00000125845	N	3	3	0	primary-scored	none
BMP4	ENSG00000125378	N	6	6	0	primary-scored	none
BMP7	ENSG00000101144	N	1	1	0	primary-scored	none
BMPER	ENSG00000164619	N	1	1	0	primary-scored	none
BPIFA4P	ENSG00000183566	N	1	1	0	primary-scored	none
BPIFB1	ENSG00000125999	N	1	1	0	primary-scored	none
BTN1A1	ENSG00000124557	N	1	1	0	primary-scored	none
CA2	ENSG00000104267	N	1	1	0	primary-scored	none
CACNA1S	ENSG00000081248	N	1	1	0	primary-scored	none
CADM1	ENSG00000182985	N	1	1	0	primary-scored	none
CALCA	ENSG00000110680	N	2	2	0	primary-scored	none
CAMK2A	ENSG00000070808	N	1	1	0	primary-scored	none
CAMP	ENSG00000164047	N	1	1	0	primary-scored	none
CAPN5	ENSG00000149260	N	1	1	0	primary-scored	none
CASP3	ENSG00000164305	N	1	1	0	primary-scored	none
CATSPER1	ENSG00000175294	N	1	1	0	primary-scored	none
CBLN4	ENSG00000054803	N	1	1	0	primary-scored	none
CBX2	ENSG00000173894	N	1	1	0	primary-scored	none
CCL27	ENSG00000213927	N	1	1	0	primary-scored	none
CCN3	ENSG00000136999	N	1	1	0	primary-scored	none
CCNA1	ENSG00000133101	N	1	1	0	primary-scored	none
CCR5	ENSG00000160791	N	1	1	0	primary-scored	none
CCRL2	ENSG00000121797	N	1	1	0	primary-scored	none
CD28	ENSG00000178562	N	1	1	0	primary-scored	none
CD34	ENSG00000174059	N	2	2	0	primary-scored	none
CD38	ENSG00000004468	N	1	1	0	primary-scored	none
CD40LG	ENSG00000102245	N	1	1	0	primary-scored	none
CD5	ENSG00000110448	N	1	1	0	primary-scored	none
CD80	ENSG00000121594	N	1	1	0	primary-scored	none
CDH1	ENSG00000039068	N	5	5	0	primary-scored	none
CDH17	ENSG00000079112	N	1	1	0	primary-scored	none
CDH2	ENSG00000170558	N	5	5	0	primary-scored	none
CDH3	ENSG00000062038	N	2	2	0	primary-scored	none
CDKN2B	ENSG00000147883	N	2	2	0	primary-scored	none
CDKN2D	ENSG00000129355	N	1	1	0	primary-scored	none
CDX2	ENSG00000165556	N	3	3	0	primary-scored	none
CDX4	ENSG00000131264	N	1	0	1	orphan	no consensus-signed primary edge
CEACAM1	ENSG00000079385	N	1	1	0	primary-scored	none
CEBPA	ENSG00000245848	N	2	2	0	primary-scored	none
CFC1	ENSG00000136698	N	1	1	0	primary-scored	none
CFH	ENSG00000000971	N	1	1	0	primary-scored	none
CFTR	ENSG00000001626	N	1	1	0	primary-scored	none
CGA	ENSG00000135346	N	2	2	0	primary-scored	none
CHRD	ENSG00000090539	N	1	1	0	primary-scored	none
CHST2	ENSG00000175040	N	2	2	0	primary-scored	none
CHST4	ENSG00000140835	N	1	1	0	primary-scored	none
CKM	ENSG00000104879	N	1	1	0	primary-scored	none
CLDN7	ENSG00000181885	N	1	1	0	primary-scored	none
CLIC3	ENSG00000169583	N	1	1	0	primary-scored	none
COL10A1	ENSG00000123500	N	3	3	0	primary-scored	none
COL11A2	ENSG00000204248	N	1	1	0	primary-scored	none
COL2A1	ENSG00000139219	N	3	3	0	primary-scored	none
COL9A1	ENSG00000112280	N	1	1	0	primary-scored	none
COL9A2	ENSG00000049089	N	1	1	0	primary-scored	none
COMP	ENSG00000105664	N	2	2	0	primary-scored	none
COP1	ENSG00000143207	N	1	1	0	primary-scored	none
CPA3	ENSG00000163751	N	1	1	0	primary-scored	none
CPT1A	ENSG00000110090	N	1	1	0	primary-scored	none
CSF1	ENSG00000184371	N	1	1	0	primary-scored	none
CSF2	ENSG00000164400	N	1	1	0	primary-scored	none
CSF3	ENSG00000108342	N	1	1	0	primary-scored	none
CTLA4	ENSG00000163599	N	1	1	0	primary-scored	none
CTNNA2	ENSG00000066032	N	1	1	0	primary-scored	none
CX3CL1	ENSG00000006210	N	1	1	0	primary-scored	none
CXCL1	ENSG00000163739	N	1	1	0	primary-scored	none
CXCR4	ENSG00000121966	N	2	2	0	primary-scored	none
CXXC5	ENSG00000171604	N	1	1	0	primary-scored	none
CYBB	ENSG00000165168	N	4	4	0	primary-scored	none
CYP17A1	ENSG00000148795	N	1	1	0	primary-scored	none
CYP19A1	ENSG00000137869	N	2	2	0	primary-scored	none
CYP26B1	ENSG00000003137	N	1	1	0	primary-scored	none
CYP2A13	ENSG00000197838	N	1	1	0	primary-scored	none
CYP2B6	ENSG00000197408	N	1	0	1	orphan	no consensus-signed primary edge
CYP2C19	ENSG00000165841	N	1	1	0	primary-scored	none
CYP2C9	ENSG00000138109	N	1	1	0	primary-scored	none
CYP3A4	ENSG00000160868	N	1	1	0	primary-scored	none
CYP3A7	ENSG00000160870	N	1	1	0	primary-scored	none
DACH1	ENSG00000276644	N	1	0	1	orphan	no consensus-signed primary edge
DAPK1	ENSG00000196730	N	1	1	0	primary-scored	none
DBH	ENSG00000123454	N	1	1	0	primary-scored	none
DCC	ENSG00000187323	N	1	1	0	primary-scored	none
DCT	ENSG00000080166	N	1	1	0	primary-scored	none
DEFB1	ENSG00000164825	N	1	1	0	primary-scored	none
DIO1	ENSG00000211452	N	1	1	0	primary-scored	none
DIO2	ENSG00000211448	N	1	1	0	primary-scored	none
DISC1	ENSG00000162946	N	1	1	0	primary-scored	none
DKK1	ENSG00000107984	N	5	5	0	primary-scored	none
DLK1	ENSG00000185559	N	2	2	0	primary-scored	none
DLL1	ENSG00000198719	N	1	1	0	primary-scored	none
DLX2	ENSG00000115844	N	1	0	1	orphan	no consensus-signed primary edge
DLX6	ENSG00000006377	N	1	1	0	primary-scored	none
DMBT1	ENSG00000187908	N	1	1	0	primary-scored	none
DMRT1	ENSG00000137090	N	1	1	0	primary-scored	none
DNAJC17	ENSG00000104129	N	1	1	0	primary-scored	none
DNMT3L	ENSG00000142182	N	1	1	0	primary-scored	none
DPPA4	ENSG00000121570	N	2	2	0	primary-scored	none
DPYSL2	ENSG00000092964	N	1	1	0	primary-scored	none
DSPP	ENSG00000152591	N	2	2	0	primary-scored	none
DTX1	ENSG00000135144	N	1	1	0	primary-scored	none
DUOX1	ENSG00000137857	N	1	1	0	primary-scored	none
DUOX2	ENSG00000140279	N	1	1	0	primary-scored	none
DUSP16	ENSG00000111266	N	1	1	0	primary-scored	none
DUSP4	ENSG00000120875	N	1	1	0	primary-scored	none
DUSP6	ENSG00000139318	N	1	1	0	primary-scored	none
EDN1	ENSG00000078401	N	2	2	0	primary-scored	none
EDNRB	ENSG00000136160	N	1	1	0	primary-scored	none
EGFL7	ENSG00000172889	N	1	1	0	primary-scored	none
EGFR	ENSG00000146648	N	4	4	0	primary-scored	none
EMCN	ENSG00000164035	N	1	1	0	primary-scored	none
EN1	ENSG00000163064	N	1	1	0	primary-scored	none
EN2	ENSG00000164778	N	1	1	0	primary-scored	none
ENPP1	ENSG00000197594	N	1	1	0	primary-scored	none
EOMES	ENSG00000163508	N	1	1	0	primary-scored	none
EPCAM	ENSG00000119888	N	2	2	0	primary-scored	none
EPHA3	ENSG00000044524	N	1	1	0	primary-scored	none
EPHA4	ENSG00000116106	N	1	1	0	primary-scored	none
EPHA6	ENSG00000080224	N	1	1	0	primary-scored	none
EPHA7	ENSG00000135333	N	4	4	0	primary-scored	none
EPO	ENSG00000130427	N	3	3	0	primary-scored	none
EPOR	ENSG00000187266	N	2	2	0	primary-scored	none
EPYC	ENSG00000083782	N	1	1	0	primary-scored	none
EREG	ENSG00000124882	N	1	1	0	primary-scored	none
ERG	ENSG00000157554	N	1	1	0	primary-scored	none
ERVW-1	ENSG00000242950	N	2	2	0	primary-scored	none
ESR1	ENSG00000091831	N	4	3	1	primary-scored	none
ETS1	ENSG00000134954	N	1	1	0	primary-scored	none
ETV2	ENSG00000105672	N	1	0	1	orphan	no consensus-signed primary edge
