TF	contrast	D	D_ci_lo	D_ci_hi	D_ci_excludes_0	perm_p	BH_q_F3	e_X	e_X_ci_lo	e_X_ci_hi	e_X_ci_excludes_0	cond_i_absD_ge_0p5	cond_ii_bootCI_excl0	cond_iii_permF3_q_le_0p05	cond_iv_direction	verdict
DLX5	C1	0.06041228811165856	-0.1350758700511676	0.2771269782130599	False	0.5467266366816592	0.6074740407573991	-0.9479119184494093	-1.1902747147429968	-0.7158349177374829	True	False	False	False	True	no discordance (criteria not met)
DLX5	C2	-0.3863432846401097	-0.6725788310447527	-0.12955168822882807	True	0.0034982508745627187	0.012346767792574301	-0.00785860758595676	-0.22155974977737514	0.20508237672402085	False	False	True	True	False	no discordance (criteria not met)
DLX5	C3	0.002732123247823195	-0.34223597065686906	0.34353358903913395	False	0.9885057471264368	0.9885057471264368	-0.22995263608909416	-0.5489709945345321	0.0662359333436528	False	False	False	False	False	no discordance (criteria not met)
EMX2	C1	0.057747425623539156	-0.15012185801275715	0.2658994830802397	False	0.5727136431784108	0.6141572071107303	-0.09486953360031875	-0.3143027119854225	0.12211212574409754	False	False	False	False	False	no discordance (criteria not met)
EMX2	C2	0.32727033565690716	0.08194257048778944	0.6126826546764401	True	0.004497751124437781	0.014203424603487728	-0.284136382008517	-0.5366285512957374	-0.055383844898779205	True	False	True	True	False	no discordance (criteria not met)
EMX2	C3	0.19910724610910668	-0.12902522195673272	0.5229095610935711	False	0.22288855572213892	0.35666377337646965	-0.03660779501481119	-0.3962222123882682	0.275250614169279	False	False	False	False	False	no discordance (criteria not met)
FOXA2	C1	0.12539923257991448	-0.07486186257201774	0.34263297500869666	False	0.20739630184907545	0.35666377337646965	-1.391809073790277	-1.6982879095294117	-1.1260558095095414	True	False	False	False	True	no discordance (criteria not met)
FOXA2	C2	-0.4375275438444283	-0.7221325919016304	-0.1763912423777366	True	0.0009995002498750624	0.005997001499250375	0.20874086227994754	-0.05161852572938143	0.46389823467225183	False	False	True	True	False	no discordance (criteria not met)
FOXA2	C3	-0.5180144320046056	-0.8582071690621299	-0.20829976481894502	True	0.0024987506246876563	0.011532695190866107	0.160399180578344	-0.1577994800148185	0.4730053117691517	False	True	True	True	False	regulon activity unexplained by TF abundance
GATA2	C1	-0.08665898524678634	-0.2942226042397439	0.12236105765572405	False	0.40729635182408797	0.4791721786165741	0.11986918484838832	-0.0983555195465833	0.35350151832574284	False	False	False	False	False	no discordance (criteria not met)
GATA2	C2	-0.5081479667807078	-0.8025366257505576	-0.24640788557659152	True	0.0004997501249375312	0.0033316674995835416	-0.2750554599036855	-0.519536115380453	-0.04062423348713492	True	True	True	True	False	regulon activity unexplained by TF abundance
GATA2	C3	-0.20349267006205518	-0.5737890721402387	0.14609660312582326	False	0.22338830584707647	0.35666377337646965	-0.3011955584361532	-0.6171291684183122	0.01223616905040211	False	False	False	False	False	no discordance (criteria not met)
GATA3	C1	-0.10415226749359395	-0.3092642329075062	0.10929694092787295	False	0.29035482258870565	0.4128168473902583	0.18928779850650634	-0.0317449846651087	0.4349357506188814	False	False	False	False	False	no discordance (criteria not met)
