module	contrast	d	d_ci_lo	d_ci_hi	SESOI	tost_pass
M1	C1	0.40837393367436486	0.18608512895913049	0.6288711302680018	0.3	False
M3_DLX5	C1	-0.29775524259151037	-0.5062484757274095	-0.08529014726937725	0.3	False
M3_FOXA2	C1	-0.0428363095786502	-0.25894500367568307	0.1586862973010455	0.3	True
M3_GATA2	C1	-0.062180438837763155	-0.27322843049868917	0.1518989537964904	0.3	True
M3_HOXA11	C1	0.03755055065105032	-0.1902419351146414	0.25320390685219557	0.3	True
M3_HOXA13	C1	0.2009826064125365	-0.001581323516443059	0.4089141029623451	0.3	False
M3_HOXA9	C1	-0.2955675200980778	-0.5142365951154682	-0.09200854381934977	0.3	False
M3_LHX1	C1	0.9616207324967918	0.7344898379913433	1.2071228317759897	0.3	False
M3_MSX1	C1	-0.4079998695960516	-0.6345032366440106	-0.2032571644942394	0.3	False
M3_MSX2	C1	-0.3648794408648326	-0.6029594050881366	-0.15534560587031238	0.3	False
M3_PAX8	C1	0.6930742631907577	0.4734053139677799	0.9241928046490814	0.3	False
M3_SALL1	C1	0.3324715421612812	0.10575703623692818	0.559828607610132	0.3	False
M3_SIX1	C1	-0.3601391110432712	-0.5799798168889673	-0.1397420652168001	0.3	False
M3_SOX17	C1	-0.20448350041604474	-0.4116781150634092	-0.005513538150080333	0.3	False
M3_SOX9	C1	0.07842452313252928	-0.12502128243401814	0.2923974580482945	0.3	True
M3_TBX18	C1	-0.44457983856983524	-0.6540439622911174	-0.2483090769948299	0.3	False
M3_WT1	C1	-0.10978578547885456	-0.3269937976062832	0.10274348895215568	0.3	False
