module	n	sigma_resid	omnibus_F	omnibus_df1	omnibus_df2	omnibus_p_F	omnibus_BH_q_F1	omnibus_F1_gate_pass	kruskal_H	kruskal_p	contrast	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
M1	506	0.1272176976542097	10.353893805655094	3	499	1.2751175777995616e-06	6.694367283447698e-06	True	44.9008736183132	9.712583029872407e-10	C1	0.051952391624045635	0.40837393367436486	0.02316638473688305	0.08091182074033747	0.18608512895913049	0.6288711302680018	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M1	506	0.1272176976542097	10.353893805655094	3	499	1.2751175777995616e-06	6.694367283447698e-06	True	44.9008736183132	9.712583029872407e-10	C2	-0.04094846259611318	-0.3218770921905469	-0.07169892795061544	-0.006826588854762919	-0.6032712657717352	-0.05045660825298305	0.009495252373813094	0.02105469004628121	DESCRIPTIVE	|d|<0.5
M1	506	0.1272176976542097	10.353893805655094	3	499	1.2751175777995616e-06	6.694367283447698e-06	True	44.9008736183132	9.712583029872407e-10	C3	0.026949404997314907	0.21183691808796962	-0.013603784706095733	0.06589600185869303	-0.11058382233766835	0.519855470719427	0.20239880059970014	0.29929321053758834	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_DLX5	506	6.410296162911131	5.495675492062573	3	499	0.0010140478535835714	0.001521071780375357	True	33.810522255638716	2.1723140267162608e-07	C1	-1.9086992890710317	-0.29775524259151037	-3.2043834315175146	-0.5402523590231433	-0.5062484757274095	-0.08529014726937725	0.004997501249375313	0.01158511653264277	DESCRIPTIVE	|d|<0.5
M3_DLX5	506	6.410296162911131	5.495675492062573	3	499	0.0010140478535835714	0.001521071780375357	True	33.810522255638716	2.1723140267162608e-07	C2	-2.301412422297611	-0.3590181114584357	-4.013324886287636	-0.5461307909784151	-0.6400631000876641	-0.08769745323040239	0.00399800099950025	0.00970943099878632	DESCRIPTIVE	|d|<0.5
M3_DLX5	506	6.410296162911131	5.495675492062573	3	499	0.0010140478535835714	0.001521071780375357	True	33.810522255638716	2.1723140267162608e-07	C3	-0.5334745275958461	-0.0832215102139021	-2.856220610049949	1.6923815105500328	-0.4490009305934029	0.26794762811261225	0.6176911544227887	0.6848314972948308	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_EMX2	506	3.0369562239677053	1.980747865351684	3	499	0.11591806050646547	0.13523773725754304	False	12.256647964804188	0.006553762511548254	C1	0.1495687955659507	0.04924957244544767	-0.45396001661037794	0.8061221749733859	-0.15009153153886687	0.27027957186016044			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_EMX2	506	3.0369562239677053	1.980747865351684	3	499	0.11591806050646547	0.13523773725754304	False	12.256647964804188	0.006553762511548254	C2	0.9143608387689275	0.3010780437178441	0.17778055295097905	1.7486063816544493	0.05827738778214551	0.5809455841873922			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_EMX2	506	3.0369562239677053	1.980747865351684	3	499	0.11591806050646547	0.13523773725754304	False	12.256647964804188	0.006553762511548254	C3	0.592142742470001	0.1949790180697375	-0.43745916625999604	1.5709998005376142	-0.14623273550586469	0.526974004107654			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_FOXA2	506	9.97761783002854	4.906525171632191	3	499	0.0022751537702914463	0.0029861393235075234	True	19.22836057629388	0.00024522621247300623	C1	-0.4274043262245626	-0.0428363095786502	-2.5729486811570714	1.553413927260959	-0.25894500367568307	0.1586862973010455	0.6681659170414792	0.7250311014705413	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
