module	n	contrast	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category
M3_DLX5	506	C1	4.711975218349882	0.002969376258756423	0.0053988659250116785	True	-0.04818240691628506	-0.24275304723850583	-0.44781810397846133	-0.038633762570408986	0.014492753623188406	0.035326086956521736	DESCRIPTIVE
M3_DLX5	506	C2	4.711975218349882	0.002969376258756423	0.0053988659250116785	True	-0.07347912913381616	-0.3702032265979797	-0.6567864574893043	-0.09372833338580694	0.0009995002498750624	0.004331167749458604	DESCRIPTIVE
M3_DLX5	506	C3	4.711975218349882	0.002969376258756423	0.0053988659250116785	True	-0.018150195733308783	-0.09144448366581819	-0.40703409635269056	0.23072700757558798	0.551224387806097	0.6322867977775818	DESCRIPTIVE
M3_EMX2	506	C1	3.8410779975321927	0.009732243144250757	0.01622040524041793	True	0.04190997247442041	0.23918589878228302	0.03645220953651305	0.4598572520570851	0.01899050474762619	0.04356645206808361	DESCRIPTIVE
M3_EMX2	506	C2	3.8410779975321927	0.009732243144250757	0.01622040524041793	True	0.051033582757813445	0.2912555804577975	0.04374426392171987	0.581902201390073	0.008995502248875561	0.02338830584707646	DESCRIPTIVE
M3_EMX2	506	C3	3.8410779975321927	0.009732243144250757	0.01622040524041793	True	0.03188050979919388	0.18194639461077394	-0.1550225035860644	0.5294130847470073	0.26636681659170414	0.3582174430026366	DESCRIPTIVE
M3_FOXA2	506	C1	5.549391898590702	0.0009419264123951977	0.0020931698053226616	True	-0.06460605120229534	-0.4048835717187945	-0.6402551453660613	-0.18772907686527823	0.0004997501249375312	0.003248375812093953	DESCRIPTIVE
M3_FOXA2	506	C2	5.549391898590702	0.0009419264123951977	0.0020931698053226616	True	-0.021502438495504705	-0.134754932962291	-0.3778278429348341	0.10229980672281894	0.26036981509245377	0.3582174430026366	DESCRIPTIVE
M3_FOXA2	506	C3	5.549391898590702	0.0009419264123951977	0.0020931698053226616	True	-0.0027868305236083968	-0.01746495684499346	-0.3599936248025191	0.3336176624803156	0.9190404797601199	0.91904047976012	DESCRIPTIVE
M3_GATA2	506	C1	15.070876485112962	2.101233567539384e-09	2.1012335675393838e-08	True	-0.04862991426041269	-0.3073166674356454	-0.54320407111921	-0.09614162791055426	0.0029985007496251873	0.008995502248875561	DESCRIPTIVE
M3_GATA2	506	C2	15.070876485112962	2.101233567539384e-09	2.1012335675393838e-08	True	-0.11910671073880141	-0.7526946730248917	-1.0583072562118847	-0.48305610080746714	0.0004997501249375312	0.003248375812093953	CAT2_DEPLETION
M3_GATA2	506	C3	15.070876485112962	2.101233567539384e-09	2.1012335675393838e-08	True	-0.009117719951406145	-0.05761941703357328	-0.43809258652990674	0.32261147355582015	0.7301349325337332	0.7696016856436647	DESCRIPTIVE
M3_GATA3	506	C1	0.20877448653580885	0.8903266696124663	0.8903266696124664	False	0.00427583004369092	0.03315445939446424	-0.18326202650377738	0.25999749031153696			DESCRIPTIVE
M3_GATA3	506	C2	0.20877448653580885	0.8903266696124663	0.8903266696124664	False	-0.0124551972583542	-0.09657664769942306	-0.3569631769896931	0.13423893646902516			DESCRIPTIVE
M3_GATA3	506	C3	0.20877448653580885	0.8903266696124663	0.8903266696124664	False	-0.008694655813416219	-0.06741769672068565	-0.43199829584400146	0.2819173721112578			DESCRIPTIVE
M3_HOXA10	506	C1	1.8451023898921062	0.13802162607566434	0.17252703259458044	False	0.0058308777179717775	0.03879772524622584	-0.1793103031303379	0.24638225247893264			DESCRIPTIVE
M3_HOXA10	506	C2	1.8451023898921062	0.13802162607566434	0.17252703259458044	False	0.030476896515399643	0.20278838187905493	-0.024284230508473018	0.46095467395151174			DESCRIPTIVE
M3_HOXA10	506	C3	1.8451023898921062	0.13802162607566434	0.17252703259458044	False	-0.02685568922907422	-0.17869344932345424	-0.5241194326028241	0.1365520354810816			DESCRIPTIVE
M3_HOXA11	506	C1	2.73721807257005	0.04295396486996062	0.0613628069570866	False	0.029698938187731838	0.17368904756862952	-0.05498049403701717	0.3848198498844906			DESCRIPTIVE
M3_HOXA11	506	C2	2.73721807257005	0.04295396486996062	0.0613628069570866	False	-0.050816883170141325	-0.2971936566363233	-0.5427181753044993	-0.065144729872591			DESCRIPTIVE
M3_HOXA11	506	C3	2.73721807257005	0.04295396486996062	0.0613628069570866	False	-0.011337730677133423	-0.06630673562984143	-0.39642841457143324	0.2748583107235044			DESCRIPTIVE
M3_HOXA13	506	C1	5.459901951146008	0.001065108212027541	0.002130216424055082	True	0.020239076558536684	0.11568240946916779	-0.07297935061583517	0.30764899158941345	0.25737131434282856	0.3582174430026366	DESCRIPTIVE
M3_HOXA13	506	C2	5.459901951146008	0.001065108212027541	0.002130216424055082	True	-0.06547507126242774	-0.3742420748247192	-0.6607781497331292	-0.12526089758853493	0.0014992503748125937	0.005847076461769115	DESCRIPTIVE
M3_HOXA13	506	C3	5.459901951146008	0.001065108212027541	0.002130216424055082	True	0.034247119763717526	0.19574951061563864	-0.0848333013891381	0.4883104183479748	0.23788105947026486	0.3568215892053973	DESCRIPTIVE
M3_HOXA9	506	C1	5.742921557530582	0.0007219900246399317	0.0018049750615998293	True	-0.046466484846005685	-0.30617116773836883	-0.5112346285807106	-0.0954510035534212	0.0029985007496251873	0.008995502248875561	DESCRIPTIVE
M3_HOXA9	506	C2	5.742921557530582	0.0007219900246399317	0.0018049750615998293	True	-0.05455618482537605	-0.3594748100850052	-0.6175300195253214	-0.13189931733940474	0.0024987506246876563	0.008859206760256236	DESCRIPTIVE
M3_HOXA9	506	C3	5.742921557530582	0.0007219900246399317	0.0018049750615998293	True	-0.020127435020311113	-0.13262118501474132	-0.45457635713853856	0.18045654936859115	0.40879560219890054	0.5142912414760362	DESCRIPTIVE
M3_LHX1	506	C1	24.45139327721616	8.912665052224925e-15	1.782533010444985e-13	True	0.13691980873339527	0.8726466235552003	0.6582759575369153	1.119287195055149	0.0004997501249375312	0.003248375812093953	CAT1_ENRICHMENT
M3_LHX1	506	C2	24.45139327721616	8.912665052224925e-15	1.782533010444985e-13	True	-0.021321396109028112	-0.13589008410211342	-0.411217231576161	0.12382740096675812	0.23738130934532733	0.3568215892053973	DESCRIPTIVE
M3_LHX1	506	C3	24.45139327721616	8.912665052224925e-15	1.782533010444985e-13	True	-0.004604926717768021	-0.029349104334523313	-0.2873397598826928	0.23801164029417868	0.863568215892054	0.8862936952576345	DESCRIPTIVE
M3_MSX1	506	C1	8.819548897011654	1.0468633763180328e-05	3.489544587726776e-05	True	-0.07608512003364007	-0.48028471270371464	-0.692773068492686	-0.27799525833657796	0.0004997501249375312	0.003248375812093953	DESCRIPTIVE
M3_MSX1	506	C2	8.819548897011654	1.0468633763180328e-05	3.489544587726776e-05	True	-0.03741547341844986	-0.23618389369049325	-0.4751821558086327	0.016635182790274854	0.05847076461769116	0.10365271909499797	DESCRIPTIVE
M3_MSX1	506	C3	8.819548897011654	1.0468633763180328e-05	3.489544587726776e-05	True	-0.019666972873232602	-0.12414709225661934	-0.4426973545376023	0.20924979589967896	0.44627686156921537	0.5438999250374812	DESCRIPTIVE
